DistrictName,MedianIncome
DUNDEE CENTRAL SCHOOL DISTRICT,56795.0
DUNKIRK CITY SCHOOL DISTRICT,49307.5
EAST AURORA UNION FREE SCHOOL DISTRICT,83121.0
EAST BLOOMFIELD CENTRAL SCHOOL DISTRICT,75579.85714285714
EAST GREENBUSH CENTRAL SCHOOL DISTRICT,82376.88888888889
EAST HAMPTON UNION FREE SCHOOL DISTRICT,118018.0
EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,51098.0
EAST ISLIP UNION FREE SCHOOL DISTRICT,114191.16666666667
EAST MEADOW UNION FREE SCHOOL DISTRICT,119341.0
EAST MORICHES UNION FREE SCHOOL DISTRICT,109689.5
EAST QUOGUE UNION FREE SCHOOL DISTRICT,84058.66666666667
EAST RAMAPO CENTRAL SCHOOL DISTRICT (SPRING VALLEY),96434.0
EAST ROCHESTER UNION FREE SCHOOL DISTRICT,90799.5
EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,110850.0
EAST SYRACUSE-MINOA CENTRAL SCHOOL DISTRICT,69702.42857142857
EAST WILLISTON UNION FREE SCHOOL DISTRICT,149491.6
EASTCHESTER UNION FREE SCHOOL DISTRICT,151468.33333333334
EASTPORT-SOUTH MANOR CENTRAL SCHOOL DISTRICT,94368.22222222222
EDEN CENTRAL SCHOOL DISTRICT,66202.57142857143
EDGEMONT UNION FREE SCHOOL DISTRICT,152328.0
EDINBURG COMMON SCHOOL DISTRICT,58945.5
EDMESTON CENTRAL SCHOOL DISTRICT,63899.857142857145
EDWARDS-KNOX CENTRAL SCHOOL DISTRICT,52895.5
ELBA CENTRAL SCHOOL DISTRICT,61557.75
ELDRED CENTRAL SCHOOL DISTRICT,61916.875
ELLENVILLE CENTRAL SCHOOL DISTRICT,67510.26666666666
ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,55898.0
ELMIRA CITY SCHOOL DISTRICT,55970.0
ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,55534.75
ELMONT UNION FREE SCHOOL DISTRICT,127021.16666666667
ELMSFORD UNION FREE SCHOOL DISTRICT,127944.5
ELWOOD UNION FREE SCHOOL DISTRICT,131034.0
EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),57504.42857142857
FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,76135.66666666667
FAIRPORT CENTRAL SCHOOL DISTRICT,89395.4
FALCONER CENTRAL SCHOOL DISTRICT,50546.28571428572
FALLSBURG CENTRAL SCHOOL DISTRICT,55982.8125
FARMINGDALE UNION FREE SCHOOL DISTRICT,114446.16666666667
FAYETTEVILLE-MANLIUS CENTRAL SCHOOL DISTRICT,85551.28571428571
FILLMORE CENTRAL SCHOOL DISTRICT,52211.4
FIRE ISLAND UNION FREE SCHOOL DISTRICT,109138.0
FISHERS ISLAND UNION FREE SCHOOL DISTRICT,46250.0
FLORAL PARK-BELLEROSE UNION FREE SCHOOL DISTRICT,124949.0
FLORIDA UNION FREE SCHOOL DISTRICT,102833.25
FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,61968.454545454544
FORESTVILLE CENTRAL SCHOOL DISTRICT,54393.71428571428
FORT ANN CENTRAL SCHOOL DISTRICT,76262.0
FORT EDWARD UNION FREE SCHOOL DISTRICT,63169.0
FORT PLAIN CENTRAL SCHOOL DISTRICT,50001.0
FRANKFORT-SCHUYLER CENTRAL SCHOOL DISTRICT,56040.0
FRANKLIN CENTRAL SCHOOL DISTRICT,50803.857142857145
FRANKLIN SQUARE UNION FREE SCHOOL DISTRICT,128777.5
FRANKLINVILLE CENTRAL SCHOOL DISTRICT,53930.125
FREDONIA CENTRAL SCHOOL DISTRICT,51986.5
FREEPORT UNION FREE SCHOOL DISTRICT,118306.25
FREWSBURG CENTRAL SCHOOL DISTRICT,49021.5
FRIENDSHIP CENTRAL SCHOOL DISTRICT,47778.0
FRONTIER CENTRAL SCHOOL DISTRICT,74888.25
FULTON CITY SCHOOL DISTRICT,60755.75
GALWAY CENTRAL SCHOOL DISTRICT,76572.375
GANANDA CENTRAL SCHOOL DISTRICT,81453.0
GARDEN CITY UNION FREE SCHOOL DISTRICT,135299.66666666666
GARRISON UNION FREE SCHOOL DISTRICT,122279.5
GATES-CHILI CENTRAL SCHOOL DISTRICT,66089.4
GENERAL BROWN CENTRAL SCHOOL DISTRICT,62807.6
GENESEE VALLEY CENTRAL SCHOOL DISTRICT,53666.625
GENESEO CENTRAL SCHOOL DISTRICT,59282.2
GENEVA CITY SCHOOL DISTRICT,58524.25
GEORGETOWN-SOUTH OTSELIC CENTRAL SCHOOL DISTRICT,54810.5
GERMANTOWN CENTRAL SCHOOL DISTRICT,70628.0
GILBERTSVILLE-MOUNT UPTON CENTRAL SCHOOL DISTRICT,54588.625
GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT,56186.083333333336
GLEN COVE CITY SCHOOL DISTRICT,114053.5
GLENS FALLS CITY SCHOOL DISTRICT,66618.0
GLENS FALLS COMMON SCHOOL DISTRICT,66618.0
GLOVERSVILLE CITY SCHOOL DISTRICT,53646.4
GORHAM-MIDDLESEX CENTRAL SCHOOL DISTRICT (MARCUS WHITMAN),60585.75
GOSHEN CENTRAL SCHOOL DISTRICT,95000.0
GOUVERNEUR CENTRAL SCHOOL DISTRICT,52115.0
GOWANDA CENTRAL SCHOOL DISTRICT,53409.28571428572
GRAND ISLAND CENTRAL SCHOOL DISTRICT,90386.0
GRANVILLE CENTRAL SCHOOL DISTRICT,56732.75
GREAT NECK UNION FREE SCHOOL DISTRICT,140796.16666666666
GREECE CENTRAL SCHOOL DISTRICT,56750.0
GREEN ISLAND UNION FREE SCHOOL DISTRICT,49862.0
GREENBURGH CENTRAL SCHOOL DISTRICT,124601.66666666667
GREENE CENTRAL SCHOOL DISTRICT,51063.71428571428
GREENPORT UNION FREE SCHOOL DISTRICT,79762.33333333333
GREENVILLE CENTRAL SCHOOL DISTRICT,75317.46666666666
GREENWICH CENTRAL SCHOOL DISTRICT,77175.875
