DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
NORTHEASTERN CLINTON CSD,81.0,9.0,22148.23,1235,622,613,1183,4.2
NORTHERN ADIRONDACK CSD,86.0,9.0,25473.35,785,418,367,777,1.0
NORTHPORT-EAST NORTHPORT UFSD,96.0,2.0,28285.29,5053,2646,2407,4092,19.0
NORTHVILLE CSD,94.0,3.0,20631.26,420,197,223,386,8.1
NORWICH CITY SD,86.0,4.0,18999.6,1672,848,824,1515,9.4
NORWOOD-NORFOLK CSD,90.0,5.0,20364.35,943,473,470,907,3.8
NY MILLS UFSD,87.0,4.0,22734.23,541,267,274,480,11.3
NYACK UFSD,91.0,5.0,24606.88,2866,1432,1434,1210,57.8
NYC GEOG DIST # 1 - MANHATTAN,68.0,8.0,,10473,5481,4992,1928,81.6
NYC GEOG DIST # 2 - MANHATTAN,81.0,5.0,,59568,28456,31112,15819,73.4
NYC GEOG DIST # 3 - MANHATTAN,81.0,3.0,,21132,9599,11533,7076,66.5
NYC GEOG DIST # 4 - MANHATTAN,85.0,4.0,,11510,5594,5916,574,95.0
NYC GEOG DIST # 5 - MANHATTAN,74.0,5.0,,9332,4954,4378,597,93.6
NYC GEOG DIST # 6 - MANHATTAN,75.0,5.0,,19124,9709,9415,1062,94.4
NYC GEOG DIST # 7 - BRONX,69.0,9.0,,16318,8639,7679,244,98.5
NYC GEOG DIST # 8 - BRONX,66.0,13.0,,24613,12660,11953,1382,94.4
NYC GEOG DIST # 9 - BRONX,74.0,9.0,,29653,14989,14664,392,98.7
NYC GEOG DIST #10 - BRONX,80.0,7.0,,49381,25187,24194,2927,94.1
NYC GEOG DIST #11 - BRONX,75.0,8.0,,35438,18643,16795,3164,91.1
NYC GEOG DIST #12 - BRONX,63.0,12.0,,19427,10007,9420,280,98.6
NYC GEOG DIST #13 - BROOKLYN,90.0,2.0,,19994,10672,9322,3446,82.8
NYC GEOG DIST #14 - BROOKLYN,82.0,5.0,,16583,8684,7899,2463,85.1
NYC GEOG DIST #15 - BROOKLYN,71.0,5.0,,29846,14881,14965,8982,69.9
NYC GEOG DIST #16 - BROOKLYN,60.0,5.0,,5425,2891,2534,148,97.3
NYC GEOG DIST #17 - BROOKLYN,74.0,6.0,,19019,9361,9658,592,96.9
NYC GEOG DIST #18 - BROOKLYN,67.0,6.0,,12417,6499,5918,420,96.6
NYC GEOG DIST #19 - BROOKLYN,79.0,6.0,,19389,10230,9159,401,97.9
NYC GEOG DIST #20 - BROOKLYN,76.0,7.0,,49535,25915,23620,12135,75.5
NYC GEOG DIST #21 - BROOKLYN,77.0,6.0,,33868,17379,16489,10970,67.6
NYC GEOG DIST #22 - BROOKLYN,85.0,3.0,,31931,16127,15804,10397,67.4
NYC GEOG DIST #23 - BROOKLYN,52.0,12.0,,7714,4315,3399,103,98.7
NYC GEOG DIST #24 - QUEENS,80.0,5.0,,54124,28429,25695,7141,86.8
NYC GEOG DIST #25 - QUEENS,76.0,5.0,,35583,18163,17420,4026,88.7
NYC GEOG DIST #26 - QUEENS,92.0,3.0,,30802,15826,14976,4705,84.7
NYC GEOG DIST #27 - QUEENS,76.0,10.0,,40675,21347,19328,4072,90.0
NYC GEOG DIST #28 - QUEENS,84.0,5.0,,38378,19482,18896,5989,84.4
NYC GEOG DIST #29 - QUEENS,77.0,6.0,,23776,12395,11381,419,98.2
NYC GEOG DIST #30 - QUEENS,86.0,4.0,,36697,18539,18158,6109,83.4
NYC GEOG DIST #31 - STATEN ISLAND,84.0,4.0,,57787,29605,28182,25639,55.6
NYC GEOG DIST #32 - BROOKLYN,75.0,8.0,,9850,5045,4805,233,97.6
NYC SPEC SCHOOLS - DIST 75,,,,25358,18632,6726,3230,87.3
OAKFIELD-ALABAMA CSD,85.0,3.0,18394.15,772,379,393,720,6.7
OCEANSIDE UFSD,94.0,0.0,22535.44,5506,2852,2654,3889,29.4
ODESSA-MONTOUR CSD,93.0,4.0,18234.83,723,379,344,675,6.6
OGDENSBURG CITY SD,80.0,12.0,22365.24,1475,763,712,1446,2.0
OLEAN CITY SD,74.0,10.0,18698.78,1925,1008,917,1567,18.6
ONEIDA CITY SD,85.0,9.0,18768.6,1857,923,934,1641,11.6
ONEONTA CITY SD,84.0,7.0,17884.13,1734,885,849,1360,21.6
