,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
222,94.0,161824.5,32363.39,1.0,20.9,KATONAH-LEWISBORO UFSD
223,92.0,73752.5,34485.18,8.0,8.3,KEENE CSD
224,98.0,60086.67,18527.39,0.0,10.1,KENDALL CSD
225,88.0,54324.25,19948.14,5.0,26.4,KENMORE-TONAWANDA UFSD
227,97.0,123713.0,25791.61,0.0,16.0,KINGS PARK CSD
228,87.0,75186.29,22986.93,8.0,48.6,KINGSTON CITY SD
229,95.0,56007.71,17047.91,5.0,6.7,LA FARGEVILLE CSD
230,82.0,48455.0,17378.83,14.0,35.7,LACKAWANNA CITY SD
231,94.0,68715.4,25122.89,0.0,40.3,LAFAYETTE CSD
232,96.0,81180.8,28540.5,2.0,8.2,LAKE GEORGE CSD
233,88.0,61918.0,26784.06,2.0,6.3,LAKE PLACID CSD
234,88.0,75714.5,47512.33,2.0,1.5,LAKE PLEASANT CSD
235,92.0,119432.4,24687.8,1.0,36.9,LAKELAND CSD
236,95.0,68643.5,14140.1,0.0,8.6,LANCASTER CSD
237,90.0,69399.6,21726.47,1.0,19.8,LANSING CSD
238,85.0,57325.0,18039.45,9.0,43.8,LANSINGBURGH CSD
239,84.0,56726.6,23669.72,8.0,11.6,LAURENS CSD
240,78.0,109532.43,27720.33,11.0,87.4,LAWRENCE UFSD
241,90.0,67910.25,16863.6,5.0,8.2,LE ROY CSD
242,94.0,54844.2,17015.69,0.0,4.0,LETCHWORTH CSD
243,94.0,136470.67,26952.8,1.0,36.4,LEVITTOWN UFSD
244,92.0,61757.5,18690.08,4.0,9.2,LEWISTON-PORTER CSD
245,77.0,57930.54,23182.34,14.0,58.3,LIBERTY CSD
246,91.0,99576.0,23636.09,4.0,34.9,LINDENHURST UFSD
247,92.0,55901.5,20676.12,0.0,2.5,LISBON CSD
248,79.0,54676.25,19877.83,17.0,10.0,LITTLE FALLS CITY SD
250,84.0,70631.34,18169.54,5.0,28.7,LIVERPOOL CSD
251,74.0,63833.2,30012.19,10.0,20.5,LIVINGSTON MANOR CSD
252,98.0,66544.78,19693.89,1.0,5.9,LIVONIA CSD
253,89.0,60823.0,18128.21,2.0,29.5,LOCKPORT CITY SD
254,97.0,123948.43,37089.06,0.0,26.8,LOCUST VALLEY CSD
255,97.0,112522.0,31355.75,1.0,41.9,LONG BEACH CITY SD
256,97.0,52795.5,52830.45,1.0,5.1,LONG LAKE CSD
257,89.0,98875.11,21996.25,5.0,54.6,LONGWOOD CSD
259,95.0,62542.2,19158.07,5.0,6.9,LYME CSD
260,97.0,115458.25,26396.92,1.0,32.9,LYNBROOK UFSD
261,97.0,44606.5,20346.46,1.0,47.5,LYNCOURT UFSD
262,96.0,54853.2,20760.99,4.0,12.1,LYNDONVILLE CSD
263,74.0,53364.0,25724.35,14.0,25.5,LYONS CSD
264,94.0,61093.67,18344.65,3.0,1.8,MADISON CSD
265,93.0,60148.89,19452.88,2.0,3.5,MADRID-WADDINGTON CSD
266,94.0,110562.0,26934.25,2.0,28.5,MAHOPAC CSD
267,74.0,32099.75,16657.58,9.0,98.7,NYC GEOG DIST # 9 - BRONX
268,80.0,47554.0,12481.32,7.0,94.1,NYC GEOG DIST #10 - BRONX
269,75.0,59079.6,25800.4,8.0,91.1,NYC GEOG DIST #11 - BRONX
270,63.0,36342.33,32295.45,12.0,98.6,NYC GEOG DIST #12 - BRONX
271,90.0,100631.6,19602.79,2.0,82.8,NYC GEOG DIST #13 - BROOKLYN
272,82.0,70139.6,19598.09,5.0,85.1,NYC GEOG DIST #14 - BROOKLYN
273,71.0,95562.13,10713.72,5.0,69.9,NYC GEOG DIST #15 - BROOKLYN
274,60.0,54048.0,99467.82,5.0,97.3,NYC GEOG DIST #16 - BROOKLYN
275,74.0,62593.0,7107.89,6.0,96.9,NYC GEOG DIST #17 - BROOKLYN
276,67.0,53702.33,29553.45,6.0,96.6,NYC GEOG DIST #18 - BROOKLYN
277,79.0,39264.33,13050.93,6.0,97.9,NYC GEOG DIST #19 - BROOKLYN
278,76.0,63385.71,7898.3,7.0,75.5,NYC GEOG DIST #20 - BROOKLYN
279,77.0,53230.83,23130.43,6.0,67.6,NYC GEOG DIST #21 - BROOKLYN
280,85.0,67778.14,18016.75,3.0,67.4,NYC GEOG DIST #22 - BROOKLYN
281,52.0,38831.5,69436.09,12.0,98.7,NYC GEOG DIST #23 - BROOKLYN
282,80.0,73961.0,3298.42,5.0,86.8,NYC GEOG DIST #24 - QUEENS
283,76.0,67681.3,24935.11,5.0,88.7,NYC GEOG DIST #25 - QUEENS
284,92.0,89223.34,18512.76,3.0,84.7,NYC GEOG DIST #26 - QUEENS
285,76.0,74852.77,10746.29,10.0,90.0,NYC GEOG DIST #27 - QUEENS
286,84.0,72971.66,18696.88,5.0,84.4,NYC GEOG DIST #28 - QUEENS
287,77.0,80180.09,24254.97,6.0,98.2,NYC GEOG DIST #29 - QUEENS
288,86.0,72604.27,10918.49,4.0,83.4,NYC GEOG DIST #30 - QUEENS
289,84.0,86134.59,10232.77,4.0,55.6,NYC GEOG DIST #31 - STATEN ISLAND
290,75.0,52066.0,111293.33,8.0,97.6,NYC GEOG DIST #32 - BROOKLYN
292,85.0,60528.5,18394.15,3.0,6.7,OAKFIELD-ALABAMA CSD
293,94.0,115829.34,22535.44,0.0,29.4,OCEANSIDE UFSD
294,93.0,57681.67,18234.83,4.0,6.6,ODESSA-MONTOUR CSD
295,80.0,53915.0,22365.24,12.0,2.0,OGDENSBURG CITY SD
296,74.0,47782.0,18698.78,10.0,18.6,OLEAN CITY SD
297,85.0,63358.38,18768.6,9.0,11.6,ONEIDA CITY SD
298,84.0,53729.0,17884.13,7.0,21.6,ONEONTA CITY SD
299,90.0,71562.84,19020.04,6.0,27.3,ONONDAGA CSD
300,87.0,68467.15,38615.96,4.0,25.3,ONTEORA CSD
302,97.0,73334.75,18291.68,0.0,7.4,ORCHARD PARK CSD
303,92.0,69966.75,20301.77,2.0,8.1,ORISKANY CSD
304,80.0,127406.34,22422.6,2.0,79.6,OSSINING UFSD
305,81.0,58733.33,19998.39,8.0,10.3,OSWEGO CITY SD
306,87.0,57785.5,21458.71,5.0,11.9,OTEGO-UNADILLA CSD
308,92.0,64451.57,18179.7,3.0,5.0,OWEGO-APALACHIN CSD
310,95.0,127665.66,31106.27,3.0,36.9,OYSTER BAY-EAST NORWICH CSD
311,95.0,79892.5,39628.6,3.0,30.8,OYSTERPONDS UFSD
312,91.0,75147.0,18477.61,7.0,7.4,PALMYRA-MACEDON CSD
313,100.0,56309.75,21679.03,0.0,5.5,PANAMA CSD
314,97.0,52445.83,25102.89,0.0,1.1,PARISHVILLE-HOPKINTON CSD
315,86.0,104073.75,22688.05,4.0,56.0,PATCHOGUE-MEDFORD UFSD
316,83.0,63204.1,21512.28,11.0,5.2,PAVILION CSD
317,93.0,106711.66,28302.88,0.0,29.4,PAWLING CSD
318,96.0,133580.0,23852.0,1.0,23.1,PEARL RIVER UFSD
319,80.0,98254.5,22977.07,8.0,93.1,PEEKSKILL CITY SD
320,98.0,107724.66,22511.94,0.0,34.7,PELHAM UFSD
321,92.0,64466.6,21102.75,2.0,6.5,PEMBROKE CSD
322,97.0,76003.14,16744.56,1.0,17.6,PENFIELD CSD
323,87.0,56688.57,22166.64,8.0,7.5,PENN YAN CSD
324,92.0,58877.45,18437.89,3.0,9.8,PERRY CSD
325,89.0,64691.14,21325.68,7.0,5.8,PERU CSD
326,85.0,61560.67,18223.93,11.0,10.5,PHELPS-CLIFTON SPRINGS CSD
327,87.0,70405.66,21337.44,8.0,5.2,PHOENIX CSD
328,91.0,91832.3,20058.09,4.0,30.7,PINE BUSH CSD
329,89.0,77546.2,28458.63,5.0,21.6,PINE PLAINS CSD
330,66.0,52078.75,24415.35,15.0,9.7,PINE VALLEY CSD (SOUTH DAYTON)
331,98.0,90935.43,19861.85,0.0,26.9,PITTSFORD CSD
332,95.0,125001.0,26342.58,0.0,13.8,PLAINEDGE UFSD
333,96.0,150691.0,26869.5,0.0,33.7,PLAINVIEW-OLD BETHPAGE CSD
334,84.0,63237.0,21291.56,8.0,14.2,PLATTSBURGH CITY SD
335,93.0,156774.0,25303.29,1.0,24.3,PLEASANTVILLE UFSD
336,93.0,126171.84,53858.3,1.0,61.4,POCANTICO HILLS CSD
337,93.0,66199.25,23870.17,7.0,7.0,POLAND CSD
338,86.0,58286.57,23478.26,4.0,5.5,PORT BYRON CSD
339,82.0,147261.5,17876.84,5.0,87.4,PORT CHESTER-RYE UFSD
340,96.0,133935.33,35628.81,1.0,23.9,PORT JEFFERSON UFSD
341,86.0,71534.5,25319.9,6.0,34.2,PORT JERVIS CITY SD
342,93.0,131163.0,25331.03,2.0,37.0,PORT WASHINGTON UFSD
343,95.0,49672.6,14307.29,3.0,6.6,PORTVILLE CSD
344,95.0,61014.0,20234.62,3.0,8.9,POTSDAM CSD
345,60.0,68081.0,21427.37,19.0,93.7,POUGHKEEPSIE CITY SD
346,84.0,49466.17,18240.82,4.0,8.1,PRATTSBURGH CSD
347,87.0,57120.5,20825.86,4.0,3.8,PULASKI CSD
348,87.0,68670.0,23009.37,4.0,0.0,PUTNAM CSD
349,97.0,117689.0,26817.67,1.0,31.5,PUTNAM VALLEY CSD
350,90.0,62680.75,16548.22,3.0,7.0,QUEENSBURY UFSD
351,90.0,104077.66,69868.4,3.0,23.4,QUOGUE UFSD
353,99.0,47460.38,18397.12,0.0,11.0,RANDOLPH CSD
354,88.0,78473.91,18848.63,6.0,19.1,RAVENA-COEYMANS-SELKIRK CSD
355,88.0,54821.5,21345.38,10.0,5.0,RED CREEK CSD
356,81.0,67510.27,26476.75,11.0,53.8,ELLENVILLE CSD
357,92.0,55898.0,17000.21,3.0,8.5,ELLICOTTVILLE CSD
358,73.0,55970.0,18365.57,16.0,28.6,ELMIRA CITY SD
359,88.0,55534.75,17766.08,6.0,12.8,ELMIRA HEIGHTS CSD
360,88.0,127021.16,21485.41,6.0,95.1,ELMONT UFSD
361,89.0,127944.5,28619.63,1.0,91.9,ELMSFORD UFSD
362,98.0,131034.0,25149.52,1.0,37.1,ELWOOD UFSD
363,90.0,57504.43,21444.49,6.0,22.8,EVANS-BRANT CSD (LAKE SHORE)
364,92.0,76135.66,23378.61,0.0,5.6,FABIUS-POMPEY CSD
365,94.0,89395.4,18288.31,2.0,14.9,FAIRPORT CSD
366,90.0,50546.29,15754.62,5.0,6.0,FALCONER CSD
367,79.0,55982.81,8070.27,8.0,71.5,FALLSBURG CSD
368,95.0,114446.16,26389.39,3.0,41.0,FARMINGDALE UFSD
369,96.0,85551.29,17546.6,0.0,19.8,FAYETTEVILLE-MANLIUS CSD
370,96.0,52211.4,16259.19,2.0,4.2,FILLMORE CSD
371,96.0,109138.0,117584.61,2.0,26.7,FIRE ISLAND UFSD
372,90.0,46250.0,53804.95,0.0,14.8,FISHERS ISLAND UFSD
373,90.0,124949.0,17858.44,0.0,41.8,FLORAL PARK-BELLEROSE UFSD
374,97.0,102833.25,24475.23,1.0,39.4,FLORIDA UFSD
375,92.0,61968.45,17693.4,6.0,7.1,FONDA-FULTONVILLE CSD
376,90.0,54393.71,19092.34,4.0,14.1,FORESTVILLE CSD
377,81.0,76262.0,23523.79,8.0,6.9,FORT ANN CSD
378,74.0,63169.0,22672.08,21.0,8.8,FORT EDWARD UFSD
379,86.0,50001.0,20887.78,2.0,12.9,FORT PLAIN CSD
380,90.0,56040.0,17334.49,1.0,6.8,FRANKFORT-SCHUYLER CSD
381,100.0,50803.86,24410.51,0.0,9.8,FRANKLIN CSD
382,100.0,128777.5,16757.04,0.0,41.8,FRANKLIN SQUARE UFSD
