,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate,Percentage of Minority Students,DistrictName
142,92,105121.5,24053.21,1,63.6,DEER PARK UFSD
144,85,67225.3,16749.58,5,14.9,DEPEW UFSD
145,97,51873.2,26448.82,3,3.9,DEPOSIT CSD
146,88,55705.4,24461.18,6,7.4,DERUYTER CSD
147,99,154429.5,27547.73,0,35.2,DOBBS FERRY UFSD
148,87,57175.7,17450.78,9,1.5,DOLGEVILLE CSD
149,84,79784.3,20364.65,6,38.3,DOVER UFSD
150,85,56483.2,36396.35,8,7.7,DOWNSVILLE CSD
151,68,62437.3,22428.41,14,15.8,DRYDEN CSD
152,98,78887.5,18262.05,2,6.1,DUANESBURG CSD
153,68,56795.0,20317.42,23,8.5,DUNDEE CSD
154,71,49307.5,21073.97,19,64.0,DUNKIRK CITY SCHOOL DISTRICT
155,97,83121.0,14972.77,1,5.6,EAST AURORA UFSD
156,94,75579.9,19459.4,2,8.5,EAST BLOOMFIELD CSD
157,96,82376.9,17840.81,2,21.1,EAST GREENBUSH CSD
158,83,118018.0,32627.14,9,62.6,EAST HAMPTON UFSD
159,90,51098.0,21188.16,6,55.6,EAST IRONDEQUOIT CSD
160,95,114191.2,27025.08,2,27.2,EAST ISLIP UFSD
161,95,119341.0,24954.87,0,51.7,EAST MEADOW UFSD
164,65,96434.0,20759.17,20,96.6,EAST RAMAPO CSD (SPRING VALLEY)
165,80,90799.5,21751.23,8,27.3,EAST ROCHESTER UFSD
166,96,110850.0,27495.82,1,40.2,EAST ROCKAWAY UFSD
168,99,149491.6,29899.6,0,42.4,EAST WILLISTON UFSD
169,99,151468.3,23455.55,0,32.9,EASTCHESTER UFSD
170,96,94368.2,23188.7,2,13.6,EASTPORT-SOUTH MANOR CSD
171,88,66202.6,17729.04,3,6.6,EDEN CSD
172,98,152328.0,26154.46,0,54.8,EDGEMONT UFSD
174,91,63899.9,21675.32,3,5.4,EDMESTON CSD
175,83,52895.5,20184.28,5,2.7,EDWARDS-KNOX CSD
176,80,61557.8,21297.72,16,20.6,ELBA CSD
177,88,61916.9,27604.29,2,14.4,ELDRED CSD
178,81,67510.3,26476.75,11,53.8,ELLENVILLE CSD
179,92,55898.0,17000.21,3,8.5,ELLICOTTVILLE CSD
180,73,55970.0,18365.57,16,28.6,ELMIRA CITY SCHOOL DISTRICT
181,88,55534.8,17766.08,6,12.8,ELMIRA HEIGHTS CSD
183,89,127944.5,28619.63,1,91.9,ELMSFORD UFSD
184,98,131034.0,25149.52,1,37.1,ELWOOD UFSD
185,90,57504.4,21444.49,6,22.8,EVANS-BRANT CSD (LAKE SHORE)
186,92,76135.7,23378.61,0,5.6,FABIUS-POMPEY CSD
187,94,89395.4,18288.31,2,14.9,FAIRPORT CSD
188,90,50546.3,15754.62,5,6.0,FALCONER CSD
189,79,55982.8,8070.27,8,71.5,FALLSBURG CSD
190,95,114446.2,26389.39,3,41.0,FARMINGDALE UFSD
191,96,85551.3,17546.6,0,19.8,FAYETTEVILLE-MANLIUS CSD
192,96,52211.4,16259.19,2,4.2,FILLMORE CSD
194,90,46250.0,53804.95,0,14.8,FISHERS ISLAND UFSD
196,97,102833.2,24475.23,1,39.4,FLORIDA UFSD
197,92,61968.5,17693.4,6,7.1,FONDA-FULTONVILLE CSD
198,90,54393.7,19092.34,4,14.1,FORESTVILLE CSD
199,81,76262.0,23523.79,8,6.9,FORT ANN CSD
200,74,63169.0,22672.08,21,8.8,FORT EDWARD UFSD
201,86,50001.0,20887.78,2,12.9,FORT PLAIN CSD
202,90,56040.0,17334.49,1,6.8,FRANKFORT-SCHUYLER CSD
203,100,50803.9,24410.51,0,9.8,FRANKLIN CSD
205,83,53930.1,25123.2,6,7.9,FRANKLINVILLE CSD
206,96,51986.5,17255.21,2,20.7,FREDONIA CSD
207,86,118306.2,21484.73,2,94.5,FREEPORT UFSD
208,94,49021.5,17462.27,2,6.0,FREWSBURG CSD
209,78,47778.0,29150.45,9,9.2,FRIENDSHIP CSD
210,91,74888.2,14894.51,3,11.8,FRONTIER CSD
211,84,60755.8,19719.91,10,10.3,FULTON CITY SCHOOL DISTRICT
212,87,76572.4,18867.04,6,1.1,GALWAY CSD
213,90,81453.0,18478.74,5,15.2,GANANDA CSD
214,98,135299.7,23500.03,0,16.0,GARDEN CITY UFSD
217,93,62807.6,13567.3,4,6.0,GENERAL BROWN CSD
218,90,53666.6,23997.0,8,5.0,GENESEE VALLEY CSD
219,93,59282.2,18482.09,3,17.5,GENESEO CSD
220,88,58524.2,20180.79,9,57.1,GENEVA CITY SCHOOL DISTRICT
222,93,70628.0,5403.88,7,14.0,GERMANTOWN CSD
223,92,54588.6,23117.52,3,3.8,GILBERTSVILLE-MOUNT UPTON CSD
224,100,56186.1,26541.08,0,4.8,GILBOA-CONESVILLE CSD
225,87,114053.5,22819.95,4,75.5,GLEN COVE CITY SCHOOL DISTRICT
226,84,66618.0,17131.9,8,14.4,GLENS FALLS CITY SCHOOL DISTRICT
228,68,53646.4,18618.2,17,20.0,GLOVERSVILLE CITY SCHOOL DISTRICT
230,96,95000.0,22102.68,0,22.4,GOSHEN CSD
231,84,52115.0,18367.44,9,3.9,GOUVERNEUR CSD
232,82,53409.3,24073.62,14,35.7,GOWANDA CSD
233,95,90386.0,17396.91,2,15.2,GRAND ISLAND CSD
234,79,56732.8,18308.97,11,5.3,GRANVILLE CSD
235,93,140796.2,28782.39,2,56.0,GREAT NECK UFSD
236,93,56750.0,16901.72,0,42.1,GREECE CSD
237,86,49862.0,23487.08,11,19.0,GREEN ISLAND UFSD
238,93,124601.7,34414.7,0,87.9,GREENBURGH CSD
242,89,51063.7,20546.04,6,5.3,GREENE CSD
243,75,79762.3,24403.49,20,72.7,GREENPORT UFSD
244,87,75317.5,23538.21,3,4.4,GREENVILLE CSD
245,91,77175.9,18651.65,1,5.1,GREENWICH CSD
247,90,65364.8,19387.04,3,8.9,GROTON CSD
248,94,75045.1,17693.96,2,26.5,GUILDERLAND CSD
249,89,62414.7,25299.07,7,4.4,HADLEY-LUZERNE CSD
250,93,104061.0,25957.28,3,17.2,HALDANE CSD
251,95,117510.1,27791.97,1,47.2,HALF HOLLOW HILLS CSD
252,92,79445.8,17076.46,3,7.0,HAMBURG CSD
253,90,56966.8,20603.59,5,8.7,HAMILTON CSD
254,74,58918.5,26123.36,16,1.2,HAMMOND CSD
255,76,51205.8,27744.76,11,7.3,HAMMONDSPORT CSD
256,91,92699.8,21642.94,6,63.1,HAMPTON BAYS UFSD
257,97,54114.0,29004.88,3,9.4,HANCOCK CSD
258,82,54135.2,19515.27,10,4.0,HANNIBAL CSD
259,95,135911.0,24499.74,1,28.1,HARBORFIELDS CSD
260,84,56108.6,21205.12,3,4.7,HARPURSVILLE CSD
261,98,137353.5,28893.27,1,35.2,HARRISON CSD
262,91,50445.0,25442.94,9,5.6,HARRISVILLE CSD
263,83,57991.9,21509.8,7,6.3,HARTFORD CSD
264,96,137899.0,27795.13,1,28.5,HASTINGS-ON-HUDSON UFSD
265,95,111789.0,28953.45,0,27.8,HAUPPAUGE UFSD
268,78,107137.0,21489.7,10,98.5,HEMPSTEAD UFSD
269,94,105085.0,28567.9,1,44.2,HENDRICK HUDSON CSD
270,82,57833.3,16820.51,9,10.7,HERKIMER CSD
271,91,50376.5,21992.93,6,3.8,HERMON-DEKALB CSD
272,97,160936.3,25834.33,0,75.3,HERRICKS UFSD
273,75,50010.7,21354.54,8,4.0,HEUVELTON CSD
274,95,133385.8,32708.8,1,37.6,HEWLETT-WOODMERE UFSD
275,92,133881.8,21799.6,4,74.2,HICKSVILLE UFSD
276,93,66984.0,22380.21,4,30.3,HIGHLAND CSD
277,87,102260.4,23505.03,8,41.9,HIGHLAND FALLS CSD
278,94,66139.1,15641.88,1,12.0,HILTON CSD
279,77,50180.5,20616.41,20,8.5,HINSDALE CSD
280,95,67787.8,18196.59,2,4.7,HOLLAND CSD
281,88,72809.5,18430.98,5,1.1,HOLLAND PATENT CSD
282,94,59784.2,19510.21,2,16.2,HOLLEY CSD
283,88,75074.7,18818.88,6,6.7,HOMER CSD
284,94,66354.9,23910.02,0,3.3,HONEOYE CSD
285,94,84392.4,17749.56,2,8.1,HONEOYE FALLS-LIMA CSD
286,92,79609.8,18681.68,3,4.2,HOOSIC VALLEY CSD
287,90,71795.4,18103.91,3,8.1,HOOSICK FALLS CSD
288,86,47783.0,18297.48,4,14.8,HORNELL CITY SCHOOL DISTRICT
289,92,60256.2,16537.38,3,13.2,HORSEHEADS CSD
290,80,65495.2,24261.33,7,60.0,HUDSON CITY SCHOOL DISTRICT
291,79,64791.0,14076.68,13,10.2,HUDSON FALLS CSD
292,85,69565.5,30553.49,4,19.0,HUNTER-TANNERSVILLE CSD
293,90,131281.5,23794.52,2,65.3,HUNTINGTON UFSD
294,88,81705.0,23435.59,6,40.6,HYDE PARK CSD
295,89,59063.0,43135.85,0,7.0,INDIAN LAKE CSD
296,87,53606.0,19354.3,7,34.3,INDIAN RIVER CSD
297,98,76619.7,20509.11,1,5.4,IROQUOIS CSD
298,92,131104.0,29339.93,0,31.7,IRVINGTON UFSD
300,95,125811.7,24009.41,2,37.0,ISLAND TREES UFSD
301,97,95089.0,26255.56,3,43.0,ISLIP UFSD
302,87,62676.5,20297.74,3,35.8,ITHACA CITY SCHOOL DISTRICT
303,74,42558.0,15641.5,14,38.3,JAMESTOWN CITY SCHOOL DISTRICT
304,94,76430.0,18413.64,2,26.6,JAMESVILLE-DEWITT CSD
305,90,52934.1,26007.34,5,2.2,JASPER-TROUPSBURG CSD
306,92,53163.7,26743.1,4,4.6,JEFFERSON CSD
307,96,152512.6,33337.94,0,70.5,JERICHO UFSD
308,89,57142.7,27133.01,11,3.7,JOHNSBURG CSD
309,90,48683.2,18386.55,5,44.0,JOHNSON CITY CSD
310,88,53323.0,15993.37,3,8.2,JOHNSTOWN CITY SCHOOL DISTRICT
311,94,70367.4,18668.5,5,5.4,JORDAN-ELBRIDGE CSD
312,94,161824.5,32363.39,1,20.9,KATONAH-LEWISBORO UFSD
313,92,73752.5,34485.18,8,8.3,KEENE CSD
314,98,60086.7,18527.39,0,10.1,KENDALL CSD
315,88,54324.2,19948.14,5,26.4,KENMORE-TONAWANDA UFSD
317,97,123713.0,25791.61,0,16.0,KINGS PARK CSD
318,87,75186.3,22986.93,8,48.6,KINGSTON CITY SCHOOL DISTRICT
320,95,56007.7,17047.91,5,6.7,LA FARGEVILLE CSD
321,82,48455.0,17378.83,14,35.7,LACKAWANNA CITY SCHOOL DISTRICT
322,94,68715.4,25122.89,0,40.3,LAFAYETTE CSD
323,96,81180.8,28540.5,2,8.2,LAKE GEORGE CSD
324,88,61918.0,26784.06,2,6.3,LAKE PLACID CSD
326,92,119432.4,24687.8,1,36.9,LAKELAND CSD
327,95,68643.5,14140.1,0,8.6,LANCASTER CSD
328,90,69399.6,21726.47,1,19.8,LANSING CSD
329,85,57325.0,18039.45,9,43.8,LANSINGBURGH CSD
330,84,56726.6,23669.72,8,11.6,LAURENS CSD
331,78,109532.4,27720.33,11,87.4,LAWRENCE UFSD
332,90,67910.2,16863.6,5,8.2,LE ROY CSD
333,94,54844.2,17015.69,0,4.0,LETCHWORTH CSD
334,94,136470.7,26952.8,1,36.4,LEVITTOWN UFSD
335,92,61757.5,18690.08,4,9.2,LEWISTON-PORTER CSD
336,77,57930.5,23182.34,14,58.3,LIBERTY CSD
337,91,99576.0,23636.09,4,34.9,LINDENHURST UFSD
338,92,55901.5,20676.12,0,2.5,LISBON CSD
339,79,54676.2,19877.83,17,10.0,LITTLE FALLS CITY SCHOOL DISTRICT
341,84,70631.3,18169.54,5,28.7,LIVERPOOL CSD
342,74,63833.2,30012.19,10,20.5,LIVINGSTON MANOR CSD
343,98,66544.8,19693.89,1,5.9,LIVONIA CSD
344,89,60823.0,18128.21,2,29.5,LOCKPORT CITY SCHOOL DISTRICT
345,97,123948.4,37089.06,0,26.8,LOCUST VALLEY CSD
346,97,112522.0,31355.75,1,41.9,LONG BEACH CITY SCHOOL DISTRICT
348,89,98875.1,21996.25,5,54.6,LONGWOOD CSD
350,95,62542.2,19158.07,5,6.9,LYME CSD
351,97,115458.2,26396.92,1,32.9,LYNBROOK UFSD
353,96,54853.2,20760.99,4,12.1,LYNDONVILLE CSD
354,74,53364.0,25724.35,14,25.5,LYONS CSD
355,94,61093.7,18344.65,3,1.8,MADISON CSD
356,93,60148.9,19452.88,2,3.5,MADRID-WADDINGTON CSD
357,94,110562.0,26934.25,2,28.5,MAHOPAC CSD
358,89,55963.2,15937.75,7,12.4,MAINE-ENDWELL CSD
359,87,58174.6,20754.3,4,3.4,MALONE CSD
360,92,124833.8,28071.16,3,82.0,MALVERNE UFSD
361,94,144161.5,22853.8,2,32.2,MAMARONECK UFSD
363,98,146793.2,25655.38,0,35.9,MANHASSET UFSD
364,98,59716.7,21017.92,0,3.4,MARATHON CSD
365,92,76931.4,19566.23,3,4.9,MARCELLUS CSD
366,88,58460.8,25293.61,8,29.4,MARGARETVILLE CSD
367,86,68890.7,22443.32,4,13.2,MARION CSD
368,91,77276.4,21764.9,4,37.2,MARLBORO CSD
369,98,133976.5,25406.75,1,10.6,MASSAPEQUA UFSD
370,84,51442.0,16440.97,7,14.3,MASSENA CSD
371,93,97980.4,31170.72,1,23.0,MATTITUCK-CUTCHOGUE UFSD
372,90,58933.3,18856.31,4,6.2,MAYFIELD CSD
373,89,59645.8,18417.53,5,4.6,MCGRAW CSD
374,94,75677.8,16937.42,4,11.2,MECHANICVILLE CITY SCHOOL DISTRICT
375,84,57023.6,18543.05,8,22.6,MEDINA CSD
378,90,62851.0,21774.73,3,5.7,MEXICO CSD
379,91,109711.9,22520.78,4,40.8,MIDDLE COUNTRY CSD
380,93,64995.6,26103.54,4,3.2,MIDDLEBURGH CSD
381,83,86565.0,19264.71,9,87.3,MIDDLETOWN CITY SCHOOL DISTRICT
382,88,63726.3,24297.78,4,4.2,MILFORD CSD
383,96,83433.0,26186.89,0,22.0,MILLBROOK CSD
384,97,119062.3,24358.13,1,14.5,MILLER PLACE UFSD
385,94,131102.6,28437.39,2,49.2,MINEOLA UFSD
386,40,54737.5,41834.28,20,7.1,MINERVA CSD
387,89,82132.6,19866.22,1,25.9,MINISINK VALLEY CSD
388,91,106537.3,21906.32,4,52.5,MONROE-WOODBURY CSD
390,83,67153.5,23954.2,7,58.2,MONTICELLO CSD
391,84,65803.2,18050.12,9,4.2,MORAVIA CSD
392,89,44562.4,20297.03,6,0.8,MORIAH CSD
393,77,62279.2,23527.09,0,8.7,MORRIS CSD
394,82,52118.4,21795.55,14,4.3,MORRISTOWN CSD
395,88,63390.0,20737.05,8,7.7,MORRISVILLE-EATON CSD
396,86,60102.3,19200.39,8,3.9,MOUNT MARKHAM CSD
403,94,107895.2,25962.31,1,53.1,NANUET UFSD
404,87,58002.9,17557.81,4,3.0,NAPLES CSD
405,97,62441.1,17848.92,1,14.8,NEW HARTFORD CSD
407,92,87238.2,9766.29,5,7.8,NEW LEBANON CSD
408,94,69680.6,25094.98,3,24.7,NEW PALTZ CSD
409,80,147819.1,22932.93,3,74.9,NEW ROCHELLE CITY SCHOOL DISTRICT
411,88,55895.2,20106.84,9,29.7,NEWARK CSD
412,88,61204.4,18004.61,5,4.4,NEWARK VALLEY CSD
413,78,77814.0,21654.67,10,83.4,NEWBURGH CITY SCHOOL DISTRICT
414,100,44688.0,59290.5,0,5.9,NEWCOMB CSD
415,92,60037.5,20242.16,5,7.3,NEWFANE CSD
416,84,59421.7,22438.23,6,19.5,NEWFIELD CSD
417,64,40596.2,16647.7,24,61.0,NIAGARA FALLS CITY SCHOOL DISTRICT
418,90,62356.5,17860.17,5,21.1,NIAGARA-WHEATFIELD CSD
419,94,85111.4,15876.85,1,31.3,NISKAYUNA CSD
