Column1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
124,126,COHOES CITY SCHOOL DISTRICT,84,11,17770.18,1873,943,930,28.9,60444
125,127,COLD SPRING HARBOR CSD,99,0,33287.48,1635,838,797,13.9,140247
126,128,COLTON-PIERREPONT CSD,94,0,22481.64,339,169,170,0.6,56456.8
127,129,COMMACK UFSD,97,0,26170.47,5875,3018,2857,23.3,122854
128,130,CONNETQUOT CSD,95,2,28395.35,5509,2786,2723,26.7,108287
129,131,COOPERSTOWN CSD,99,1,19740.77,818,413,405,8.8,63359
130,132,COPENHAGEN CSD,100,0,18762.25,393,212,181,7.6,61598
131,133,COPIAGUE UFSD,89,7,18858.63,4965,2443,2522,87.7,99989.2
132,134,CORINTH CSD,86,6,15265.53,1139,586,553,4.8,77271.8
133,135,CORNING CITY SCHOOL DISTRICT,88,6,19702.53,4551,2359,2192,13.5,64176.9
134,136,CORNWALL CSD,96,3,18883.36,3102,1632,1470,35.5,112038
135,137,CORTLAND CITY SCHOOL DISTRICT,80,7,18587.04,2132,1092,1040,15.1,61464
136,138,COXSACKIE-ATHENS CSD,82,7,20955.92,1242,679,563,15.5,68206.2
137,139,CROTON-HARMON UFSD,96,0,23468.52,1584,820,764,28.7,111839.3
138,140,CROWN POINT CSD,95,5,20638.87,286,135,151,0.7,55082.8
139,141,CUBA-RUSHFORD CSD,92,0,19895.03,780,433,347,5,53610.3
140,142,DALTON-NUNDA CSD (KESHEQUA),98,0,20242.29,589,297,292,2.5,54371.9
141,143,DANSVILLE CSD,85,10,17846.3,1304,652,652,6.7,63313.4
142,144,DEER PARK UFSD,92,1,24053.21,3864,1984,1880,63.6,105121.5
144,146,DEPEW UFSD,85,5,16749.58,1784,905,879,14.9,67225.3
145,147,DEPOSIT CSD,97,3,26448.82,458,242,216,3.9,51873.2
146,148,DERUYTER CSD,88,6,24461.18,326,168,158,7.4,55705.4
147,149,DOBBS FERRY UFSD,99,0,27547.73,1516,783,733,35.2,154429.5
148,150,DOLGEVILLE CSD,87,9,17450.78,815,393,422,1.5,57175.7
149,151,DOVER UFSD,84,6,20364.65,1351,691,660,38.3,79784.3
150,152,DOWNSVILLE CSD,85,8,36396.35,207,98,109,7.7,56483.2
151,153,DRYDEN CSD,68,14,22428.41,1364,699,665,15.8,62437.3
152,154,DUANESBURG CSD,98,2,18262.05,651,339,312,6.1,78887.5
153,155,DUNDEE CSD,68,23,20317.42,621,330,291,8.5,56795
154,156,DUNKIRK CITY SCHOOL DISTRICT,71,19,21073.97,1957,996,961,64,49307.5
155,157,EAST AURORA UFSD,97,1,14972.77,1758,902,856,5.6,83121
156,158,EAST BLOOMFIELD CSD,94,2,19459.4,816,420,396,8.5,75579.9
157,159,EAST GREENBUSH CSD,96,2,17840.81,4088,2049,2039,21.1,82376.9
158,160,EAST HAMPTON UFSD,83,9,32627.14,1712,852,860,62.6,118018
159,161,EAST IRONDEQUOIT CSD,90,6,21188.16,2945,1488,1457,55.6,51098
160,162,EAST ISLIP UFSD,95,2,27025.08,3549,1855,1694,27.2,114191.2
161,163,EAST MEADOW UFSD,95,0,24954.87,7240,3643,3597,51.7,119341
164,166,EAST RAMAPO CSD (SPRING VALLEY),65,20,20759.17,9387,4909,4478,96.6,96434
165,167,EAST ROCHESTER UFSD,80,8,21751.23,957,488,469,27.3,90799.5
166,168,EAST ROCKAWAY UFSD,96,1,27495.82,1173,576,597,40.2,110850
168,170,EAST WILLISTON UFSD,99,0,29899.6,1722,914,808,42.4,149491.6
169,171,EASTCHESTER UFSD,99,0,23455.55,3232,1684,1548,32.9,151468.3
170,172,EASTPORT-SOUTH MANOR CSD,96,2,23188.7,3225,1646,1579,13.6,94368.2
171,173,EDEN CSD,88,3,17729.04,1307,669,638,6.6,66202.6
172,174,EDGEMONT UFSD,98,0,26154.46,2049,1061,988,54.8,152328
174,176,EDMESTON CSD,91,3,21675.32,355,179,176,5.4,63899.9
175,177,EDWARDS-KNOX CSD,83,5,20184.28,485,257,228,2.7,52895.5
176,178,ELBA CSD,80,16,21297.72,374,194,180,20.6,61557.8
177,179,ELDRED CSD,88,2,27604.29,464,224,240,14.4,61916.9
178,181,ELLENVILLE CSD,81,11,26476.75,1516,751,765,53.8,67510.3
179,182,ELLICOTTVILLE CSD,92,3,17000.21,568,295,273,8.5,55898
180,183,ELMIRA CITY SCHOOL DISTRICT,73,16,18365.57,5544,2848,2696,28.6,55970
181,184,ELMIRA HEIGHTS CSD,88,6,17766.08,1018,503,515,12.8,55534.8
183,186,ELMSFORD UFSD,89,1,28619.63,967,494,473,91.9,127944.5
184,187,ELWOOD UFSD,98,1,25149.52,2049,1031,1018,37.1,131034
185,188,EVANS-BRANT CSD (LAKE SHORE),90,6,21444.49,2179,1124,1055,22.8,57504.4
186,189,FABIUS-POMPEY CSD,92,0,23378.61,611,302,309,5.6,76135.7
187,190,FAIRPORT CSD,94,2,18288.31,5683,2932,2751,14.9,89395.4
188,191,FALCONER CSD,90,5,15754.62,1119,574,545,6,50546.3
189,192,FALLSBURG CSD,79,8,8070.27,1410,688,722,71.5,55982.8
190,193,FARMINGDALE UFSD,95,3,26389.39,5521,2882,2639,41,114446.2
191,194,FAYETTEVILLE-MANLIUS CSD,96,0,17546.6,4203,2114,2089,19.8,85551.3
192,195,FILLMORE CSD,96,2,16259.19,639,320,319,4.2,52211.4
194,197,FISHERS ISLAND UFSD,90,0,53804.95,61,26,35,14.8,46250
196,199,FLORIDA UFSD,97,1,24475.23,789,399,390,39.4,102833.2
197,200,FONDA-FULTONVILLE CSD,92,6,17693.4,1245,635,610,7.1,61968.5
198,201,FORESTVILLE CSD,90,4,19092.34,433,212,221,14.1,54393.7
199,202,FORT ANN CSD,81,8,23523.79,421,244,177,6.9,76262
200,203,FORT EDWARD UFSD,74,21,22672.08,444,224,220,8.8,63169
201,204,FORT PLAIN CSD,86,2,20887.78,769,401,368,12.9,50001
202,205,FRANKFORT-SCHUYLER CSD,90,1,17334.49,893,457,436,6.8,56040
203,206,FRANKLIN CSD,100,0,24410.51,244,114,130,9.8,50803.9
205,208,FRANKLINVILLE CSD,83,6,25123.2,594,293,301,7.9,53930.1
206,209,FREDONIA CSD,96,2,17255.21,1418,730,688,20.7,51986.5
207,210,FREEPORT UFSD,86,2,21484.73,6765,3582,3183,94.5,118306.2
208,211,FREWSBURG CSD,94,2,17462.27,777,378,399,6,49021.5
209,212,FRIENDSHIP CSD,78,9,29150.45,304,153,151,9.2,47778
210,213,FRONTIER CSD,91,3,14894.51,4612,2356,2256,11.8,74888.2
211,214,FULTON CITY SCHOOL DISTRICT,84,10,19719.91,3200,1659,1541,10.3,60755.8
212,215,GALWAY CSD,87,6,18867.04,800,392,408,1.1,76572.4
213,216,GANANDA CSD,90,5,18478.74,893,440,453,15.2,81453
214,217,GARDEN CITY UFSD,98,0,23500.03,3939,1964,1975,16,135299.7
217,220,GENERAL BROWN CSD,93,4,13567.3,1388,711,677,6,62807.6
218,221,GENESEE VALLEY CSD,90,8,23997,478,243,235,5,53666.6
219,222,GENESEO CSD,93,3,18482.09,855,444,411,17.5,59282.2
220,223,GENEVA CITY SCHOOL DISTRICT,88,9,20180.79,1996,988,1008,57.1,58524.2
222,225,GERMANTOWN CSD,93,7,5403.88,485,263,222,14,70628
223,226,GILBERTSVILLE-MOUNT UPTON CSD,92,3,23117.52,338,164,174,3.8,54588.6
224,227,GILBOA-CONESVILLE CSD,100,0,26541.08,294,167,127,4.8,56186.1
225,228,GLEN COVE CITY SCHOOL DISTRICT,87,4,22819.95,3163,1613,1550,75.5,114053.5
226,229,GLENS FALLS CITY SCHOOL DISTRICT,84,8,17131.9,2022,1042,980,14.4,66618
228,231,GLOVERSVILLE CITY SCHOOL DISTRICT,68,17,18618.2,2554,1310,1244,20,53646.4
230,233,GOSHEN CSD,96,0,22102.68,2885,1458,1427,22.4,95000
231,234,GOUVERNEUR CSD,84,9,18367.44,1461,739,722,3.9,52115
232,235,GOWANDA CSD,82,14,24073.62,1063,511,552,35.7,53409.3
233,236,GRAND ISLAND CSD,95,2,17396.91,2869,1462,1407,15.2,90386
234,237,GRANVILLE CSD,79,11,18308.97,1020,545,475,5.3,56732.8
235,238,GREAT NECK UFSD,93,2,28782.39,6586,3466,3120,56,140796.2
236,239,GREECE CSD,93,0,16901.72,10504,5322,5182,42.1,56750
237,240,GREEN ISLAND UFSD,86,11,23487.08,263,117,146,19,49862
238,241,GREENBURGH CSD,93,0,34414.7,1581,803,778,87.9,124601.7
242,245,GREENE CSD,89,6,20546.04,924,479,445,5.3,51063.7
243,246,GREENPORT UFSD,75,20,24403.49,660,351,309,72.7,79762.3
244,247,GREENVILLE CSD,87,3,23538.21,1126,573,553,4.4,75317.5
245,248,GREENWICH CSD,91,1,18651.65,945,496,449,5.1,77175.9
247,250,GROTON CSD,90,3,19387.04,778,387,391,8.9,65364.8
248,251,GUILDERLAND CSD,94,2,17693.96,4841,2451,2390,26.5,75045.1
249,252,HADLEY-LUZERNE CSD,89,7,25299.07,640,350,290,4.4,62414.7
250,253,HALDANE CSD,93,3,25957.28,796,423,373,17.2,104061
251,254,HALF HOLLOW HILLS CSD,95,1,27791.97,7676,3950,3726,47.2,117510.1
252,255,HAMBURG CSD,92,3,17076.46,3321,1649,1672,7,79445.8
253,256,HAMILTON CSD,90,5,20603.59,554,303,251,8.7,56966.8
254,257,HAMMOND CSD,74,16,26123.36,242,124,118,1.2,58918.5
255,258,HAMMONDSPORT CSD,76,11,27744.76,395,196,199,7.3,51205.8
256,259,HAMPTON BAYS UFSD,91,6,21642.94,2006,1048,958,63.1,92699.8
257,260,HANCOCK CSD,97,3,29004.88,308,159,149,9.4,54114
258,261,HANNIBAL CSD,82,10,19515.27,1236,649,587,4,54135.2
259,262,HARBORFIELDS CSD,95,1,24499.74,2965,1510,1455,28.1,135911
260,263,HARPURSVILLE CSD,84,3,21205.12,641,365,276,4.7,56108.6
261,264,HARRISON CSD,98,1,28893.27,3653,1820,1833,35.2,137353.5
262,265,HARRISVILLE CSD,91,9,25442.94,340,175,165,5.6,50445
263,266,HARTFORD CSD,83,7,21509.8,410,230,180,6.3,57991.9
264,267,HASTINGS-ON-HUDSON UFSD,96,1,27795.13,1656,840,816,28.5,137899
265,268,HAUPPAUGE UFSD,95,0,28953.45,3272,1725,1547,27.8,111789
268,271,HEMPSTEAD UFSD,78,10,21489.7,6825,3624,3201,98.5,107137
269,272,HENDRICK HUDSON CSD,94,1,28567.9,2267,1146,1121,44.2,105085
270,273,HERKIMER CSD,82,9,16820.51,1059,550,509,10.7,57833.3
271,274,HERMON-DEKALB CSD,91,6,21992.93,391,201,190,3.8,50376.5
272,275,HERRICKS UFSD,97,0,25834.33,4007,2067,1940,75.3,160936.3
273,276,HEUVELTON CSD,75,8,21354.54,504,260,244,4,50010.7
274,277,HEWLETT-WOODMERE UFSD,95,1,32708.8,2854,1511,1343,37.6,133385.8
275,278,HICKSVILLE UFSD,92,4,21799.6,5272,2747,2525,74.2,133881.8
276,279,HIGHLAND CSD,93,4,22380.21,1666,840,826,30.3,66984
277,280,HIGHLAND FALLS CSD,87,8,23505.03,962,474,488,41.9,102260.4
278,281,HILTON CSD,94,1,15641.88,4295,2219,2076,12,66139.1
279,282,HINSDALE CSD,77,20,20616.41,387,175,212,8.5,50180.5
280,283,HOLLAND CSD,95,2,18196.59,829,432,397,4.7,67787.8
281,284,HOLLAND PATENT CSD,88,5,18430.98,1298,679,619,1.1,72809.5
282,285,HOLLEY CSD,94,2,19510.21,902,444,458,16.2,59784.2
283,286,HOMER CSD,88,6,18818.88,1831,951,880,6.7,75074.7
284,287,HONEOYE CSD,94,0,23910.02,569,311,258,3.3,66354.9
285,288,HONEOYE FALLS-LIMA CSD,94,2,17749.56,2122,1136,986,8.1,84392.4
286,289,HOOSIC VALLEY CSD,92,3,18681.68,931,486,445,4.2,79609.8
287,290,HOOSICK FALLS CSD,90,3,18103.91,1064,548,516,8.1,71795.4
288,292,HORNELL CITY SCHOOL DISTRICT,86,4,18297.48,1528,754,774,14.8,47783
289,293,HORSEHEADS CSD,92,3,16537.38,3842,1956,1886,13.2,60256.2
290,294,HUDSON CITY SCHOOL DISTRICT,80,7,24261.33,1617,810,807,60,65495.2
291,295,HUDSON FALLS CSD,79,13,14076.68,2259,1137,1122,10.2,64791
292,296,HUNTER-TANNERSVILLE CSD,85,4,30553.49,331,150,181,19,69565.5
293,297,HUNTINGTON UFSD,90,2,23794.52,4459,2307,2152,65.3,131281.5
294,298,HYDE PARK CSD,88,6,23435.59,3396,1735,1661,40.6,81705
295,300,INDIAN LAKE CSD,89,0,43135.85,100,45,55,7,59063
296,301,INDIAN RIVER CSD,87,7,19354.3,3543,1772,1771,34.3,53606
297,302,IROQUOIS CSD,98,1,20509.11,2127,1078,1049,5.4,76619.7
298,303,IRVINGTON UFSD,92,0,29339.93,1776,936,840,31.7,131104
300,305,ISLAND TREES UFSD,95,2,24009.41,2238,1139,1099,37,125811.7
301,306,ISLIP UFSD,97,3,26255.56,2726,1347,1379,43,95089
302,307,ITHACA CITY SCHOOL DISTRICT,87,3,20297.74,5052,2578,2474,35.8,62676.5
303,308,JAMESTOWN CITY SCHOOL DISTRICT,74,14,15641.5,4479,2304,2175,38.3,42558
304,309,JAMESVILLE-DEWITT CSD,94,2,18413.64,2693,1404,1289,26.6,76430
305,310,JASPER-TROUPSBURG CSD,90,5,26007.34,401,216,185,2.2,52934.1
306,311,JEFFERSON CSD,92,4,26743.1,196,100,96,4.6,53163.7
307,312,JERICHO UFSD,96,0,33337.94,3159,1692,1467,70.5,152512.6
308,313,JOHNSBURG CSD,89,11,27133.01,301,157,144,3.7,57142.7
309,314,JOHNSON CITY CSD,90,5,18386.55,2347,1187,1160,44,48683.2
310,315,JOHNSTOWN CITY SCHOOL DISTRICT,88,3,15993.37,1501,800,701,8.2,53323
311,316,JORDAN-ELBRIDGE CSD,94,5,18668.5,1112,585,527,5.4,70367.4
312,317,KATONAH-LEWISBORO UFSD,94,1,32363.39,2915,1501,1414,20.9,161824.5
313,318,KEENE CSD,92,8,34485.18,157,75,82,8.3,73752.5
314,319,KENDALL CSD,98,0,18527.39,684,356,328,10.1,60086.7
315,320,KENMORE-TONAWANDA UFSD,88,5,19948.14,6648,3363,3285,26.4,54324.2
317,322,KINGS PARK CSD,97,0,25791.61,2886,1440,1446,16,123713
318,323,KINGSTON CITY SCHOOL DISTRICT,87,8,22986.93,6308,3166,3142,48.6,75186.3
319,324,KIRYAS JOEL VILLAGE UFSD,0,43,107717.2,167,91,76,0,75547
320,325,LA FARGEVILLE CSD,95,5,17047.91,495,246,249,6.7,56007.7
321,326,LACKAWANNA CITY SCHOOL DISTRICT,82,14,17378.83,1790,937,853,35.7,48455
322,327,LAFAYETTE CSD,94,0,25122.89,792,401,391,40.3,68715.4
323,328,LAKE GEORGE CSD,96,2,28540.5,722,360,362,8.2,81180.8
324,329,LAKE PLACID CSD,88,2,26784.06,569,271,298,6.3,61918
326,331,LAKELAND CSD,92,1,24687.8,5510,2787,2723,36.9,119432.4
327,332,LANCASTER CSD,95,0,14140.1,5631,2874,2757,8.6,68643.5
328,333,LANSING CSD,90,1,21726.47,1187,602,585,19.8,69399.6
329,334,LANSINGBURGH CSD,85,9,18039.45,2110,1134,976,43.8,57325
330,335,LAURENS CSD,84,8,23669.72,301,141,160,11.6,56726.6
331,336,LAWRENCE UFSD,78,11,27720.33,2446,1289,1157,87.4,109532.4
332,337,LE ROY CSD,90,5,16863.6,1176,583,593,8.2,67910.2
333,338,LETCHWORTH CSD,94,0,17015.69,893,464,429,4,54844.2
334,339,LEVITTOWN UFSD,94,1,26952.8,7102,3635,3467,36.4,136470.7
335,340,LEWISTON-PORTER CSD,92,4,18690.08,1920,1004,916,9.2,61757.5
336,341,LIBERTY CSD,77,14,23182.34,1694,876,818,58.3,57930.5
337,342,LINDENHURST UFSD,91,4,23636.09,5674,2882,2792,34.9,99576
338,343,LISBON CSD,92,0,20676.12,559,282,277,2.5,55901.5
339,344,LITTLE FALLS CITY SCHOOL DISTRICT,79,17,19877.83,1073,546,527,10,54676.2
341,346,LIVERPOOL CSD,84,5,18169.54,6927,3478,3449,28.7,70631.3
342,347,LIVINGSTON MANOR CSD,74,10,30012.19,410,191,219,20.5,63833.2
343,348,LIVONIA CSD,98,1,19693.89,1449,767,682,5.9,66544.8
344,349,LOCKPORT CITY SCHOOL DISTRICT,89,2,18128.21,4328,2206,2122,29.5,60823
345,350,LOCUST VALLEY CSD,97,0,37089.06,2012,1028,984,26.8,123948.4
346,351,LONG BEACH CITY SCHOOL DISTRICT,97,1,31355.75,3613,1879,1734,41.9,112522
348,353,LONGWOOD CSD,89,5,21996.25,9042,4626,4416,54.6,98875.1
350,355,LYME CSD,95,5,19158.07,331,157,174,6.9,62542.2
351,356,LYNBROOK UFSD,97,1,26396.92,2787,1422,1365,32.9,115458.2
353,358,LYNDONVILLE CSD,96,4,20760.99,586,296,290,12.1,54853.2
354,359,LYONS CSD,74,14,25724.35,833,434,399,25.5,53364
355,360,MADISON CSD,94,3,18344.65,454,212,242,1.8,61093.7
356,361,MADRID-WADDINGTON CSD,93,2,19452.88,655,331,324,3.5,60148.9
357,362,MAHOPAC CSD,94,2,26934.25,3972,2029,1943,28.5,110562
358,363,MAINE-ENDWELL CSD,89,7,15937.75,2459,1226,1233,12.4,55963.2
359,364,MALONE CSD,87,4,20754.3,2199,1191,1008,3.4,58174.6
360,365,MALVERNE UFSD,92,3,28071.16,1724,910,814,82,124833.8
