,GraduationPercentageRate,HouseholdIncome,FundingPerStudent,DropoutPercentageRate
367,86,68890.7,22443.32,4
368,91,77276.4,21764.9,4
369,98,133976.5,25406.75,1
370,84,51442.0,16440.97,7
371,93,97980.4,31170.72,1
372,90,58933.3,18856.31,4
373,89,59645.8,18417.53,5
374,94,75677.8,16937.42,4
375,84,57023.6,18543.05,8
378,90,62851.0,21774.73,3
379,91,109711.9,22520.78,4
380,93,64995.6,26103.54,4
381,83,86565.0,19264.71,9
382,88,63726.3,24297.78,4
383,96,83433.0,26186.89,0
384,97,119062.3,24358.13,1
385,94,131102.6,28437.39,2
386,40,54737.5,41834.28,20
387,89,82132.6,19866.22,1
388,91,106537.3,21906.32,4
390,83,67153.5,23954.2,7
391,84,65803.2,18050.12,9
392,89,44562.4,20297.03,6
393,77,62279.2,23527.09,0
394,82,52118.4,21795.55,14
395,88,63390.0,20737.05,8
396,86,60102.3,19200.39,8
403,94,107895.2,25962.31,1
404,87,58002.9,17557.81,4
405,97,62441.1,17848.92,1
407,92,87238.2,9766.29,5
408,94,69680.6,25094.98,3
409,80,147819.1,22932.93,3
411,88,55895.2,20106.84,9
412,88,61204.4,18004.61,5
413,78,77814.0,21654.67,10
414,100,44688.0,59290.5,0
415,92,60037.5,20242.16,5
416,84,59421.7,22438.23,6
417,64,40596.2,16647.7,24
418,90,62356.5,17860.17,5
419,94,85111.4,15876.85,1
420,93,109923.6,25157.29,4
422,92,62133.5,21209.35,4
423,93,70709.1,16378.28,3
426,87,56033.2,21632.65,6
427,96,122803.6,34752.96,2
428,96,127171.8,36171.47,0
429,87,69545.3,15859.19,5
430,86,69119.0,17409.1,7
431,92,61106.2,22431.62,5
432,87,73045.2,26227.2,6
433,81,56574.2,22148.23,9
434,86,56522.2,25473.35,9
435,96,131766.0,28285.29,2
436,94,59445.5,20631.26,3
437,86,53188.4,18999.6,4
438,90,54853.2,20364.35,5
440,91,124980.7,24606.88,5
474,85,60528.5,18394.15,3
475,94,115829.3,22535.44,0
476,93,57681.7,18234.83,4
477,80,53915.0,22365.24,12
478,74,47782.0,18698.78,10
479,85,63358.4,18768.6,9
480,84,53729.0,17884.13,7
481,90,71562.8,19020.04,6
482,87,68467.2,38615.96,4
484,97,73334.8,18291.68,0
485,92,69966.8,20301.77,2
486,80,127406.3,22422.6,2
487,81,58733.3,19998.39,8
488,87,57785.5,21458.71,5
490,92,64451.6,18179.7,3
492,95,127665.7,31106.27,3
494,91,75147.0,18477.61,7
495,100,56309.8,21679.03,0
496,97,52445.8,25102.89,0
497,86,104073.8,22688.05,4
498,83,63204.1,21512.28,11
499,93,106711.7,28302.88,0
500,96,133580.0,23852.0,1
501,80,98254.5,22977.07,8
502,98,107724.7,22511.94,0
503,92,64466.6,21102.75,2
504,97,76003.1,16744.56,1
505,87,56688.6,22166.64,8
506,92,58877.4,18437.89,3
507,89,64691.1,21325.68,7
508,85,61560.7,18223.93,11
509,87,70405.7,21337.44,8
510,91,91832.3,20058.09,4
511,89,77546.2,28458.63,5
512,66,52078.8,24415.35,15
