,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
160,EAST HAMPTON UFSD,83,9,32627.14,1712,852,860,640,62.6
161,EAST IRONDEQUOIT CSD,90,6,21188.16,2945,1488,1457,1307,55.6
162,EAST ISLIP UFSD,95,2,27025.08,3549,1855,1694,2584,27.2
163,EAST MEADOW UFSD,95,0,24954.87,7240,3643,3597,3499,51.7
164,EAST MORICHES UFSD,—,—,20972.97,684,335,349,555,18.9
165,EAST QUOGUE UFSD,—,—,30127.26,390,203,187,255,34.6
166,EAST RAMAPO CSD (SPRING VALLEY),65,20,20759.17,9387,4909,4478,319,96.6
167,EAST ROCHESTER UFSD,80,8,21751.23,957,488,469,696,27.3
168,EAST ROCKAWAY UFSD,96,1,27495.82,1173,576,597,702,40.2
169,EAST SYRACUSE MINOA CSD,90,1,20125.41,3138,1608,1530,2669,14.9
170,EAST WILLISTON UFSD,99,0,29899.60,1722,914,808,992,42.4
171,EASTCHESTER UFSD,99,0,23455.55,3232,1684,1548,2169,32.9
172,EASTPORT-SOUTH MANOR CSD,96,2,23188.70,3225,1646,1579,2788,13.6
173,EDEN CSD,88,3,17729.04,1307,669,638,1221,6.6
174,EDGEMONT UFSD,98,0,26154.46,2049,1061,988,927,54.8
175,EDINBURG COMMON SCHOOL DISTRICT,—,—,37016.86,53,26,27,51,3.8
176,EDMESTON CSD,91,3,21675.32,355,179,176,336,5.4
177,EDWARDS-KNOX CSD,83,5,20184.28,485,257,228,472,2.7
178,ELBA CSD,80,16,21297.72,374,194,180,297,20.6
179,ELDRED CSD,88,2,27604.29,464,224,240,397,14.4
181,ELLENVILLE CSD,81,11,26476.75,1516,751,765,700,53.8
182,ELLICOTTVILLE CSD,92,3,17000.21,568,295,273,520,8.5
183,ELMIRA CITY SCHOOL DISTRICT,73,16,18365.57,5544,2848,2696,3959,28.6
184,ELMIRA HEIGHTS CSD,88,6,17766.08,1018,503,515,888,12.8
185,ELMONT UFSD,—,—,21485.41,3324,1690,1634,163,95.1
186,ELMSFORD UFSD,89,1,28619.63,967,494,473,78,91.9
187,ELWOOD UFSD,98,1,25149.52,2049,1031,1018,1289,37.1
188,EVANS-BRANT CSD (LAKE SHORE),90,6,21444.49,2179,1124,1055,1683,22.8
189,FABIUS-POMPEY CSD,92,0,23378.61,611,302,309,577,5.6
190,FAIRPORT CSD,94,2,18288.31,5683,2932,2751,4836,14.9
191,FALCONER CSD,90,5,15754.62,1119,574,545,1052,6.0
192,FALLSBURG CSD,79,8,8070.27,1410,688,722,402,71.5
193,FARMINGDALE UFSD,95,3,26389.39,5521,2882,2639,3258,41.0
194,FAYETTEVILLE-MANLIUS CSD,96,0,17546.60,4203,2114,2089,3370,19.8
195,FILLMORE CSD,96,2,16259.19,639,320,319,612,4.2
196,FIRE ISLAND UFSD,—,—,117584.61,30,14,16,22,26.7
197,FISHERS ISLAND UFSD,90,0,53804.95,61,26,35,52,14.8
198,FLORAL PARK-BELLEROSE UFSD,—,—,17858.44,1472,750,722,857,41.8
199,FLORIDA UFSD,97,1,24475.23,789,399,390,478,39.4
200,FONDA-FULTONVILLE CSD,92,6,17693.40,1245,635,610,1157,7.1
201,FORESTVILLE CSD,90,4,19092.34,433,212,221,372,14.1
202,FORT ANN CSD,81,8,23523.79,421,244,177,392,6.9
203,FORT EDWARD UFSD,74,21,22672.08,444,224,220,405,8.8
204,FORT PLAIN CSD,86,2,20887.78,769,401,368,670,12.9
205,FRANKFORT-SCHUYLER CSD,90,1,17334.49,893,457,436,832,6.8
206,FRANKLIN CSD,100,0,24410.51,244,114,130,220,9.8
207,FRANKLIN SQUARE UFSD,—,—,16757.04,1832,953,879,1067,41.8
208,FRANKLINVILLE CSD,83,6,25123.20,594,293,301,547,7.9
209,FREDONIA CSD,96,2,17255.21,1418,730,688,1125,20.7
210,FREEPORT UFSD,86,2,21484.73,6765,3582,3183,373,94.5
211,FREWSBURG CSD,94,2,17462.27,777,378,399,730,6.0
212,FRIENDSHIP CSD,78,9,29150.45,304,153,151,276,9.2
213,FRONTIER CSD,91,3,14894.51,4612,2356,2256,4068,11.8
214,FULTON CITY SCHOOL DISTRICT,84,10,19719.91,3200,1659,1541,2871,10.3
215,GALWAY CSD,87,6,18867.04,800,392,408,791,1.1
216,GANANDA CSD,90,5,18478.74,893,440,453,757,15.2
