,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,WhiteStudentsEnrolled,Percentage of Minority Students
706,WESTFIELD CSD,80,4,22096.84,632,308,324,573,9.3
707,WESTHAMPTON BEACH UFSD,93,3,25836.22,1820,950,870,1170,35.7
708,WESTHILL CSD,96,3,17204.54,1778,841,937,1486,16.4
709,WESTMORELAND CSD,95,0,20977.82,853,421,432,810,5.0
711,WHEATLAND-CHILI CSD,88,3,24615.30,636,305,331,444,30.2
712,WHEELERVILLE UFSD,—,—,25960.01,117,61,56,113,3.4
713,WHITE PLAINS CITY SCHOOL DISTRICT,91,3,27671.34,7069,3564,3505,1549,78.1
714,WHITEHALL CSD,76,16,20970.97,703,346,357,683,2.8
715,WHITESBORO CSD,94,4,17518.67,3143,1602,1541,2824,10.1
716,WHITESVILLE CSD,93,0,25735.40,179,90,89,174,2.8
717,WHITNEY POINT CSD,78,6,20246.09,1329,672,657,1289,3.0
718,WILLIAM FLOYD UFSD,89,4,20200.92,8837,4514,4323,3545,59.9
719,WILLIAMSON CSD,94,1,18664.46,984,512,472,798,18.9
720,WILLIAMSVILLE CSD,95,2,16128.34,9913,5014,4899,7248,26.9
721,WILLSBORO CSD,80,5,29014.65,229,108,121,209,8.7
722,WILSON CSD,91,8,19651.21,1042,545,497,948,9.0
723,WINDHAM-ASHLAND-JEWETT CSD,95,5,30935.23,291,155,136,246,15.5
724,WINDSOR CSD,92,4,20400.27,1528,778,750,1391,9.0
725,WORCESTER CSD,100,0,22629.71,320,149,171,312,2.5
726,WYANDANCH UFSD,56,17,21454.95,2700,1381,1319,26,99.0
727,WYNANTSKILL UFSD,—,—,17164.28,376,187,189,334,11.2
728,WYOMING CSD,—,—,28167.77,128,70,58,125,2.3
729,YONKERS CITY SCHOOL DISTRICT,91,3,18820.45,24633,12524,12109,3818,84.5
730,YORK CSD,97,2,19869.81,688,377,311,651,5.4
731,YORKSHIRE-PIONEER CSD,89,6,17445.73,2307,1196,1111,2192,5.0
732,YORKTOWN CSD,97,1,24424.21,3401,1775,1626,2456,27.8
