DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
MAINE-ENDWELL CSD,89.0,7.0,15937.75,2459.0,1226.0,1233.0,12.4,55963.17,Yes
ADDISON CSD,90.0,3.0,23833.02,976.0,503.0,473.0,3.2,59328.0,""
ADIRONDACK CSD,92.0,5.0,14013.61,1145.0,575.0,570.0,1.7,63986.36,No
AFTON CSD,83.0,10.0,24128.02,507.0,262.0,245.0,8.9,54818.29,""
AKRON CSD,95.0,3.0,17552.56,1334.0,667.0,667.0,17.5,76903.75,""
ALBANY CITY SD,71.0,12.0,22382.65,8610.0,4444.0,4166.0,80.2,61049.18,No
ALBION CSD,85.0,11.0,15094.95,1781.0,887.0,894.0,25.5,60784.29,""
ALDEN CSD,96.0,1.0,16574.76,1581.0,783.0,798.0,4.2,80543.78,No
ALEXANDER CSD,95.0,2.0,19435.51,787.0,378.0,409.0,6.5,67828.57,""
ALEXANDRIA CSD,88.0,5.0,21219.66,472.0,232.0,240.0,5.3,55344.5,""
ALFRED-ALMOND CSD,100.0,0.0,18461.16,601.0,329.0,272.0,9.7,51929.29,""
ALLEGANY-LIMESTONE CSD,87.0,4.0,16367.35,1103.0,574.0,529.0,8.1,49249.8,""
ALTMAR-PARISH-WILLIAMSTOWN CSD,82.0,9.0,23307.26,1067.0,537.0,530.0,6.4,62701.6,""
AMAGANSETT UFSD,82.0,9.0,97583.8,64.0,30.0,34.0,39.1,114088.66,""
AMHERST CSD,93.0,1.0,15755.19,2925.0,1516.0,1409.0,33.1,69733.66,No
AMITYVILLE UFSD,85.0,7.0,23455.51,2997.0,1594.0,1403.0,95.4,109412.0,No
AMSTERDAM CITY SD,84.0,6.0,17207.22,3586.0,1838.0,1748.0,59.3,65237.57,No
ANDES CSD,100.0,0.0,38857.67,65.0,35.0,30.0,10.8,56633.86,""
ANDOVER CSD,89.0,4.0,24277.59,278.0,127.0,151.0,2.9,49658.6,""
ARDSLEY UFSD,97.0,0.0,25178.37,2325.0,1257.0,1068.0,42.5,158208.72,""
ARGYLE CSD,86.0,11.0,23262.18,463.0,233.0,230.0,5.4,62666.25,""
ARKPORT CSD,100.0,0.0,19505.93,459.0,241.0,218.0,6.1,57429.4,""
ARLINGTON CSD,91.0,3.0,21035.77,7963.0,3966.0,3997.0,34.4,90955.71,No
ATTICA CSD,91.0,2.0,20326.08,1160.0,574.0,586.0,4.7,66734.22,""
AUBURN CITY SD,76.0,12.0,15909.72,4106.0,2124.0,1982.0,23.0,51517.0,Yes
AUSABLE VALLEY CSD,88.0,11.0,23515.55,1112.0,561.0,551.0,3.4,72556.14,""
AVERILL PARK CSD,94.0,3.0,18170.81,2663.0,1336.0,1327.0,8.7,84931.25,""
AVOCA CSD,95.0,3.0,23182.35,421.0,216.0,205.0,6.9,49992.17,""
AVON CSD,93.0,2.0,15986.52,1007.0,518.0,489.0,11.9,75221.8,""
BABYLON UFSD,96.0,0.0,29037.85,1555.0,787.0,768.0,24.2,112620.0,""
BAINBRIDGE-GUILFORD CSD,96.0,0.0,18604.94,773.0,394.0,379.0,9.6,51899.86,""
BALDWIN UFSD,95.0,0.0,24058.03,4477.0,2360.0,2117.0,87.9,98237.4,Yes
BALDWINSVILLE CSD,93.0,4.0,16551.37,5390.0,2816.0,2574.0,12.4,70991.0,No
BALLSTON SPA CSD,89.0,6.0,17822.98,4064.0,2105.0,1959.0,8.3,86613.84,""
BARKER CSD,92.0,2.0,20097.18,699.0,365.0,334.0,12.4,62311.71,""
BATAVIA CITY SD,94.0,2.0,19357.91,2190.0,1156.0,1034.0,27.9,60567.0,No
BATH CSD,90.0,6.0,14747.3,1419.0,722.0,697.0,4.0,52368.57,""
BAY SHORE UFSD,87.0,4.0,23456.92,5848.0,2990.0,2858.0,72.2,116545.0,""
BAYPORT-BLUE POINT UFSD,98.0,0.0,30894.87,2080.0,1047.0,1033.0,15.0,110745.75,""
BEACON CITY SD,88.0,6.0,20683.23,2723.0,1358.0,1365.0,55.3,84118.34,Yes
BEAVER RIVER CSD,91.0,1.0,15124.46,871.0,456.0,415.0,2.6,52416.5,""
BEDFORD CSD,86.0,4.0,29882.43,3902.0,1993.0,1909.0,48.4,151156.8,No
BEEKMANTOWN CSD,94.0,3.0,15225.58,1915.0,997.0,918.0,5.5,60106.67,No
BELFAST CSD,81.0,0.0,22753.52,322.0,167.0,155.0,4.0,51402.29,""
BELLEVILLE-HENDERSON CSD,92.0,0.0,16968.41,463.0,240.0,223.0,8.4,"",""
BELLMORE UFSD,92.0,0.0,28180.7,946.0,475.0,471.0,23.2,146297.33,""
BELLMORE-MERRICK CENTRAL SCHOOL DISTRICT,97.0,0.0,25413.48,5272.0,2672.0,2600.0,21.7,"",Yes
BEMUS POINT CSD,98.0,2.0,17784.12,621.0,331.0,290.0,3.7,54523.0,""
BERKSHIRE UFSD,98.0,2.0,17784.12,83.0,72.0,11.0,61.4,"",""
BERLIN CSD,82.0,13.0,24974.93,673.0,349.0,324.0,3.6,79717.38,""
BERNE-KNOX-WESTERLO CSD,92.0,1.0,24220.44,716.0,366.0,350.0,6.0,77819.2,""
BETHLEHEM CSD,94.0,3.0,17185.56,4336.0,2205.0,2131.0,16.0,89023.66,Yes
BETHPAGE UFSD,95.0,1.0,26750.9,2945.0,1455.0,1490.0,37.3,130513.4,No
BINGHAMTON CITY SD,73.0,16.0,20117.55,4946.0,2535.0,2411.0,58.3,48095.0,Yes
BLIND BROOK-RYE UFSD,99.0,0.0,27396.38,1364.0,688.0,676.0,22.3,125493.0,""
BOLIVAR-RICHBURG CSD,94.0,5.0,21660.27,697.0,385.0,312.0,3.0,52773.83,""
BOLTON CSD,86.0,0.0,38860.88,179.0,91.0,88.0,10.1,82051.0,""
BOQUET VALLEY CSD,92.0,8.0,29438.51,410.0,220.0,190.0,2.4,"",""
BRADFORD CSD,97.0,3.0,25011.05,237.0,118.0,119.0,2.5,57434.0,""
BRASHER FALLS CSD,86.0,8.0,18091.67,964.0,479.0,485.0,6.2,52303.6,""
BRENTWOOD UFSD,76.0,12.0,19390.0,18826.0,9652.0,9174.0,97.1,98721.0,Yes
BREWSTER CSD,88.0,6.0,26271.8,3066.0,1616.0,1450.0,49.2,103172.66,No
BRIARCLIFF MANOR UFSD,97.0,1.0,30106.31,1390.0,732.0,658.0,32.4,166958.5,""
BRIDGEHAMPTON UFSD,86.0,7.0,60852.77,209.0,109.0,100.0,77.5,115114.0,""
BRIGHTON CSD,95.0,1.0,18309.26,3518.0,1766.0,1752.0,32.0,79012.8,Yes
BROADALBIN-PERTH CSD,90.0,6.0,16438.42,1681.0,853.0,828.0,5.1,59113.75,No
BROCKPORT CSD,91.0,2.0,19153.63,3168.0,1625.0,1543.0,20.5,68815.57,No
BROCTON CSD,88.0,7.0,22092.47,509.0,231.0,278.0,18.1,54416.17,""
BRONXVILLE UFSD,97.0,0.0,25738.45,1642.0,863.0,779.0,19.9,108142.0,""
BROOKFIELD CSD,82.0,14.0,24173.83,207.0,94.0,113.0,1.4,57008.17,""
BROOKHAVEN-COMSEWOGUE UFSD,92.0,4.0,22056.41,3683.0,1813.0,1870.0,41.8,118550.6,No
BRUNSWICK CSD (BRITTONKILL),88.0,4.0,17579.17,1149.0,585.0,564.0,10.5,80701.55,""
BRUSHTON-MOIRA CSD,83.0,5.0,20707.52,761.0,400.0,361.0,2.8,52123.43,""
BUFFALO CITY SD,76.0,12.0,18959.77,30674.0,15520.0,15154.0,81.0,43318.85,Yes
BURNT HILLS-BALLSTON LAKE CSD,96.0,2.0,17703.0,3082.0,1562.0,1520.0,7.9,89112.29,""
BYRAM HILLS CSD,99.0,0.0,34560.05,2274.0,1159.0,1115.0,17.1,147694.28,""
BYRON-BERGEN CSD,98.0,1.0,21604.84,828.0,385.0,443.0,11.5,66222.75,""
CAIRO-DURHAM CSD,92.0,5.0,21073.84,1179.0,601.0,578.0,18.7,63166.27,""
CALEDONIA-MUMFORD CSD,97.0,1.0,18494.78,755.0,367.0,388.0,6.8,66146.16,""
CAMBRIDGE CSD,93.0,6.0,20247.7,823.0,420.0,403.0,7.8,75838.29,""
CAMDEN CSD,86.0,6.0,19020.69,1963.0,983.0,980.0,6.1,61254.09,Yes
CAMPBELL-SAVONA CSD,95.0,3.0,20618.32,791.0,373.0,418.0,5.4,56361.83,""
CANAJOHARIE CSD,94.0,4.0,21495.74,818.0,416.0,402.0,6.2,59828.0,""
CANANDAIGUA CITY SD,92.0,4.0,17678.85,3357.0,1720.0,1637.0,12.7,72225.6,""
CANASERAGA CSD,71.0,18.0,24196.83,199.0,94.0,105.0,5.5,56816.0,""
CANASTOTA CSD,84.0,7.0,17657.1,1275.0,645.0,630.0,10.0,72601.0,No
CANDOR CSD,93.0,3.0,19391.18,718.0,354.0,364.0,7.2,60132.5,""
CANISTEO-GREENWOOD CSD,93.0,4.0,22874.26,935.0,495.0,440.0,4.3,50768.0,""
CANTON CSD,82.0,1.0,20152.15,1171.0,610.0,561.0,7.3,54204.0,""
CARLE PLACE UFSD,98.0,0.0,32591.09,1358.0,712.0,646.0,35.4,104753.34,""
SWEET HOME CSD,94.0,3.0,47371.33,3261.0,1742.0,1519.0,37.7,74452.6,""
SYOSSET CSD,99.0,0.0,30765.31,6580.0,3414.0,3166.0,47.9,151591.5,No
SYRACUSE CITY SD,71.0,11.0,19030.39,19011.0,9916.0,9095.0,78.1,49428.5,Yes
TACONIC HILLS CSD,75.0,12.0,24336.16,1205.0,612.0,593.0,20.2,71588.84,""
THOUSAND ISLANDS CSD,95.0,3.0,19397.93,867.0,425.0,442.0,8.4,57228.55,""
THREE VILLAGE CSD,96.0,1.0,31655.63,5809.0,2922.0,2887.0,22.9,124953.43,""
TICONDEROGA CSD,91.0,5.0,23812.19,682.0,361.0,321.0,1.9,80308.25,""
TIOGA CSD,91.0,4.0,15563.69,886.0,446.0,440.0,2.9,59570.14,""
TONAWANDA CITY SD,93.0,3.0,16138.8,1729.0,880.0,849.0,13.0,58954.0,No
TOWN OF WEBB UFSD,100.0,0.0,26872.8,259.0,136.0,123.0,3.5,65457.2,""
TRI-VALLEY CSD,75.0,19.0,27786.88,930.0,495.0,435.0,18.9,58629.6,""
TROY CITY SD,88.0,7.0,19801.65,3842.0,1927.0,1915.0,60.3,57325.0,Yes
TRUMANSBURG CSD,91.0,0.0,20889.47,999.0,514.0,485.0,14.6,56880.2,""
TUCKAHOE COMN SD,91.0,0.0,51082.72,253.0,121.0,132.0,74.3,105669.5,""
TUCKAHOE UFSD,99.0,0.0,25010.58,1184.0,615.0,569.0,33.6,110517.75,""
TULLY CSD,81.0,3.0,19646.46,737.0,391.0,346.0,6.5,72185.5,""
TUPPER LAKE CSD,89.0,2.0,20549.25,712.0,365.0,347.0,6.0,55435.5,""
TUXEDO UFSD,100.0,0.0,45079.45,222.0,111.0,111.0,35.6,103987.0,""
UFSD-TARRYTOWNS,90.0,5.0,25569.87,2682.0,1355.0,1327.0,69.1,"",""
UNADILLA VALLEY CSD,84.0,3.0,22294.87,758.0,368.0,390.0,4.5,53665.14,""
UNION SPRINGS CSD,94.0,0.0,18831.95,791.0,431.0,360.0,10.4,66015.16,""
UNION-ENDICOTT CSD,88.0,5.0,18861.64,3569.0,1795.0,1774.0,32.1,57793.5,Yes
UNIONDALE UFSD,78.0,11.0,24253.37,6748.0,3438.0,3310.0,98.5,111490.66,No
UTICA CITY SD,73.0,13.0,15176.09,9738.0,4917.0,4821.0,70.9,55937.33,No
VALHALLA UFSD,93.0,1.0,30131.68,1387.0,706.0,681.0,46.0,106481.0,No
VALLEY CSD (MONTGOMERY),92.0,4.0,21709.36,4131.0,2073.0,2058.0,39.5,91179.38,""
VALLEY STREAM 13 UFSD,92.0,4.0,21831.3,1963.0,1049.0,914.0,76.4,"",""
VALLEY STREAM 24 UFSD,92.0,4.0,23989.49,1097.0,560.0,537.0,82.2,"",""
VALLEY STREAM 30 UFSD,92.0,4.0,21680.41,1464.0,745.0,719.0,95.3,"",""
VALLEY STREAM CENTRAL SCHOOL DISTRICT,93.0,2.0,22335.67,4542.0,2315.0,2227.0,83.6,"",""
VAN HORNESVILLE-OWEN D YOUNG CSD,91.0,5.0,23917.91,181.0,85.0,96.0,3.3,"",""
VESTAL CSD,93.0,2.0,18422.74,3291.0,1695.0,1596.0,22.8,65047.67,Yes
VICTOR CSD,95.0,2.0,13662.02,4272.0,2140.0,2132.0,17.4,82661.29,No
VOORHEESVILLE CSD,96.0,2.0,17552.5,1180.0,581.0,599.0,10.0,96354.5,""
WAINSCOTT COMN SD,96.0,2.0,28103.79,29.0,14.0,15.0,62.1,106326.0,""
WALLKILL CSD,90.0,3.0,21761.44,2831.0,1482.0,1349.0,34.8,77384.91,No
WALTON CSD,86.0,11.0,20436.21,866.0,433.0,433.0,4.4,54078.0,""
WANTAGH UFSD,98.0,0.0,24819.0,2770.0,1397.0,1373.0,14.9,143313.0,No
WAPPINGERS CSD,94.0,3.0,19359.75,10645.0,5511.0,5134.0,31.2,90151.13,No
WARRENSBURG CSD,85.0,8.0,23590.05,662.0,352.0,310.0,6.3,64830.38,""
WARSAW CSD,92.0,7.0,18447.56,820.0,390.0,430.0,8.4,59166.57,""
WARWICK VALLEY CSD,95.0,1.0,18948.67,3569.0,1818.0,1751.0,25.2,101545.5,""
WASHINGTONVILLE CSD,94.0,2.0,20640.42,3801.0,1904.0,1897.0,40.3,104425.22,No
WATERFORD-HALFMOON UFSD,90.0,5.0,23921.21,752.0,385.0,367.0,10.0,70068.0,""
WATERLOO CSD,90.0,4.0,20639.44,1538.0,784.0,754.0,12.5,54392.67,Yes
WATERTOWN CITY SD,77.0,14.0,14799.55,3972.0,2061.0,1911.0,30.8,53675.67,Yes
WATERVILLE CSD,93.0,0.0,19097.1,741.0,395.0,346.0,2.6,69413.43,""
WATERVLIET CITY SD,88.0,7.0,13712.89,1296.0,697.0,599.0,54.3,52722.0,""
WATKINS GLEN CSD,95.0,1.0,21000.88,983.0,508.0,475.0,8.6,59327.55,""
WAVERLY CSD,90.0,8.0,17881.28,1442.0,713.0,729.0,4.9,54707.5,Yes
WAYLAND-COHOCTON CSD,94.0,4.0,19889.88,1247.0,621.0,626.0,3.6,56342.6,No
WAYNE CSD,92.0,4.0,18290.82,2127.0,1095.0,1032.0,6.9,80629.66,No
WEBSTER CSD,95.0,1.0,17463.98,8151.0,4194.0,3957.0,17.3,75512.0,No
WEEDSPORT CSD,96.0,2.0,21378.37,725.0,365.0,360.0,8.0,57784.0,""
WELLS CSD,89.0,6.0,32101.51,135.0,83.0,52.0,3.0,61267.0,""
WELLSVILLE CSD,82.0,6.0,19328.04,1077.0,527.0,550.0,5.6,54473.6,""
WEST BABYLON UFSD,92.0,4.0,24688.51,3705.0,1867.0,1838.0,41.9,108718.34,""
WEST CANADA VALLEY CSD,96.0,2.0,21996.67,650.0,306.0,344.0,4.0,58483.0,""
WEST GENESEE CSD,95.0,0.0,16351.6,4483.0,2312.0,2171.0,14.1,76938.0,""
WEST HEMPSTEAD UFSD,89.0,6.0,27633.69,1759.0,930.0,829.0,77.2,110161.0,""
WEST IRONDEQUOIT CSD,93.0,2.0,17041.73,3620.0,1885.0,1735.0,29.8,51638.0,""
WEST ISLIP UFSD,98.0,0.0,24902.21,4006.0,2097.0,1909.0,17.2,116003.0,""
WEST SENECA CSD,91.0,4.0,16393.8,6214.0,3178.0,3036.0,15.0,59280.0,""
WEST VALLEY CSD,79.0,14.0,36386.31,190.0,98.0,92.0,4.7,58744.17,""
WESTBURY UFSD,84.0,11.0,24100.6,4979.0,2569.0,2410.0,98.0,152112.0,No
WESTFIELD CSD,80.0,4.0,22096.84,632.0,308.0,324.0,9.3,49503.33,""
WESTHAMPTON BEACH UFSD,93.0,3.0,25836.22,1820.0,950.0,870.0,35.7,113387.34,""
WESTHILL CSD,96.0,3.0,17204.54,1778.0,841.0,937.0,16.4,66212.5,Yes
WESTMORELAND CSD,95.0,0.0,20977.82,853.0,421.0,432.0,5.0,65308.86,""
WHEATLAND-CHILI CSD,88.0,3.0,24615.3,636.0,305.0,331.0,30.2,67558.0,""
WHEELERVILLE UFSD,88.0,3.0,25960.01,117.0,61.0,56.0,3.4,49780.33,""
WHITE PLAINS CITY SD,91.0,3.0,27671.34,7069.0,3564.0,3505.0,78.1,106715.34,""
WHITEHALL CSD,76.0,16.0,20970.97,703.0,346.0,357.0,2.8,64743.75,""
WHITESBORO CSD,94.0,4.0,17518.67,3143.0,1602.0,1541.0,10.1,65544.63,No
WHITESVILLE CSD,93.0,0.0,25735.4,179.0,90.0,89.0,2.8,45024.67,""
WHITNEY POINT CSD,78.0,6.0,20246.09,1329.0,672.0,657.0,3.0,55161.86,""
WILLIAM FLOYD UFSD,89.0,4.0,20200.92,8837.0,4514.0,4323.0,59.9,93855.66,""
WILLIAMSON CSD,94.0,1.0,18664.46,984.0,512.0,472.0,18.9,71056.0,""
WILLIAMSVILLE CSD,95.0,2.0,16128.34,9913.0,5014.0,4899.0,26.9,89129.34,No
WILLSBORO CSD,80.0,5.0,29014.65,229.0,108.0,121.0,8.7,60185.2,""
WILSON CSD,91.0,8.0,19651.21,1042.0,545.0,497.0,9.0,63643.67,""
WINDHAM-ASHLAND-JEWETT CSD,95.0,5.0,30935.23,291.0,155.0,136.0,15.5,53107.0,""
WINDSOR CSD,92.0,4.0,20400.27,1528.0,778.0,750.0,9.0,55349.8,Yes
WORCESTER CSD,100.0,0.0,22629.71,320.0,149.0,171.0,2.5,54057.5,""
WYANDANCH UFSD,56.0,17.0,21454.95,2700.0,1381.0,1319.0,99.0,98069.0,No
WYNANTSKILL UFSD,56.0,17.0,17164.28,376.0,187.0,189.0,11.2,68131.5,""
WYOMING CSD,56.0,17.0,28167.77,128.0,70.0,58.0,2.3,62790.5,""
YONKERS CITY SD,91.0,3.0,18820.45,24633.0,12524.0,12109.0,84.5,94866.45,Yes
YORK CSD,97.0,2.0,19869.81,688.0,377.0,311.0,5.4,61273.5,""
YORKSHIRE-PIONEER CSD,89.0,6.0,17445.73,2307.0,1196.0,1111.0,5.0,58648.46,Yes
