DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
ELBA CSD,80.0,16.0,21297.72,374.0,194.0,180.0,20.6,61557.75,""
ELDRED CSD,88.0,2.0,27604.29,464.0,224.0,240.0,14.4,61916.88,""
RED HOOK CSD,91.0,4.0,24227.11,1766.0,918.0,848.0,16.5,86355.88,""
MALONE CSD,87.0,4.0,20754.3,2199.0,1191.0,1008.0,3.4,58174.63,Yes
MALVERNE UFSD,92.0,3.0,28071.16,1724.0,910.0,814.0,82.0,124833.75,No
MAMARONECK UFSD,94.0,2.0,22853.8,5596.0,2917.0,2679.0,32.2,144161.5,No
MANCHESTER-SHORTSVILLE CSD (RED JACK,82.0,4.0,18766.55,763.0,404.0,359.0,11.8,"",""
MANHASSET UFSD,98.0,0.0,25655.38,3163.0,1680.0,1483.0,35.9,146793.25,Yes
MARATHON CSD,98.0,0.0,21017.92,653.0,327.0,326.0,3.4,59716.67,""
MARCELLUS CSD,92.0,3.0,19566.23,1505.0,802.0,703.0,4.9,76931.43,""
MARGARETVILLE CSD,88.0,8.0,25293.61,330.0,164.0,166.0,29.4,58460.82,""
MARION CSD,86.0,4.0,22443.32,634.0,311.0,323.0,13.2,68890.66,""
MARLBORO CSD,91.0,4.0,21764.9,1891.0,968.0,923.0,37.2,77276.4,""
MASSAPEQUA UFSD,98.0,1.0,25406.75,6713.0,3337.0,3376.0,10.6,133976.5,No
MASSENA CSD,84.0,7.0,16440.97,2475.0,1222.0,1253.0,14.3,51442.0,Yes
MATTITUCK-CUTCHOGUE UFSD,93.0,1.0,31170.72,1101.0,584.0,517.0,23.0,97980.4,""
MAYFIELD CSD,90.0,4.0,18856.31,842.0,437.0,405.0,6.2,58933.33,""
MCGRAW CSD,89.0,5.0,18417.53,527.0,256.0,271.0,4.6,59645.75,""
MECHANICVILLE CITY SD,94.0,4.0,16937.42,1346.0,717.0,629.0,11.2,75677.8,""
MEDINA CSD,84.0,8.0,18543.05,1387.0,672.0,715.0,22.6,57023.6,""
MENANDS UFSD,84.0,8.0,17152.22,305.0,162.0,143.0,74.4,87980.5,""
MERRICK UFSD,84.0,8.0,29454.36,1510.0,768.0,742.0,13.9,127506.0,""
MEXICO CSD,90.0,3.0,21774.73,1944.0,991.0,953.0,5.7,62851.0,No
MIDDLE COUNTRY CSD,91.0,4.0,22520.78,9050.0,4660.0,4390.0,40.8,109711.89,""
MIDDLEBURGH CSD,93.0,4.0,26103.54,654.0,316.0,338.0,3.2,64995.58,""
MIDDLETOWN CITY SD,83.0,9.0,19264.71,7405.0,3739.0,3666.0,87.3,86565.0,No
MILFORD CSD,88.0,4.0,24297.78,334.0,176.0,158.0,4.2,63726.29,""
MILLBROOK CSD,96.0,0.0,26186.89,880.0,451.0,429.0,22.0,83433.0,No
MILLER PLACE UFSD,97.0,1.0,24358.13,2490.0,1308.0,1182.0,14.5,119062.34,""
MINEOLA UFSD,94.0,2.0,28437.39,2790.0,1460.0,1330.0,49.2,131102.6,Yes
MINERVA CSD,40.0,20.0,41834.28,99.0,45.0,54.0,7.1,54737.5,""
MINISINK VALLEY CSD,89.0,1.0,19866.22,3493.0,1779.0,1714.0,25.9,82132.6,""
MONROE-WOODBURY CSD,91.0,4.0,21906.32,6702.0,3384.0,3318.0,52.5,106537.34,No
MONTAUK UFSD,91.0,4.0,44925.84,286.0,146.0,140.0,36.4,102266.0,""
MONTICELLO CSD,83.0,7.0,23954.2,2786.0,1424.0,1362.0,58.2,67153.53,Yes
MORAVIA CSD,84.0,9.0,18050.12,873.0,434.0,439.0,4.2,65803.16,""
MORIAH CSD,89.0,6.0,20297.03,666.0,342.0,324.0,0.8,44562.43,""
MORRIS CSD,77.0,0.0,23527.09,310.0,165.0,145.0,8.7,62279.2,""
MORRISTOWN CSD,82.0,14.0,21795.55,322.0,167.0,155.0,4.3,52118.4,""
MORRISVILLE-EATON CSD,88.0,8.0,20737.05,588.0,289.0,299.0,7.7,63390.0,""
MOUNT MARKHAM CSD,86.0,8.0,19200.39,1038.0,527.0,511.0,3.9,60102.27,""
MT MORRIS CSD,85.0,10.0,21224.05,515.0,264.0,251.0,30.3,"",""
MT PLEASANT CSD,96.0,0.0,27690.51,1902.0,993.0,909.0,20.8,"",""
MT PLEASANT-COTTAGE UFSD,9.0,27.0,27690.51,214.0,103.0,111.0,89.3,"",""
MT SINAI UFSD,97.0,1.0,22321.61,2176.0,1131.0,1045.0,17.2,"",""
MT VERNON SCHOOL DISTRICT,68.0,10.0,27660.55,7326.0,3755.0,3571.0,95.5,"",""
NANUET UFSD,94.0,1.0,25962.31,2218.0,1126.0,1092.0,53.1,107895.25,No
NAPLES CSD,87.0,4.0,17557.81,599.0,305.0,294.0,3.0,58002.86,""
NEW HARTFORD CSD,97.0,1.0,17848.92,2553.0,1308.0,1245.0,14.8,62441.13,""
NEW HYDE PARK-GARDEN CITY PARK UFSD,97.0,1.0,19533.7,1719.0,882.0,837.0,76.6,128858.0,""
NEW LEBANON CSD,92.0,5.0,9766.29,409.0,205.0,204.0,7.8,87238.22,""
NEW PALTZ CSD,94.0,3.0,25094.98,2037.0,1036.0,1001.0,24.7,69680.63,""
NEW ROCHELLE CITY SD,80.0,3.0,22932.93,10286.0,5394.0,4892.0,74.9,147819.14,""
NEW SUFFOLK COMN SD,80.0,3.0,36043.61,16.0,9.0,7.0,18.8,108972.0,""
NEWARK CSD,88.0,9.0,20106.84,1983.0,1014.0,969.0,29.7,55895.25,Yes
NEWARK VALLEY CSD,88.0,5.0,18004.61,1075.0,547.0,528.0,4.4,61204.43,""
NEWBURGH CITY SD,78.0,10.0,21654.67,10913.0,5664.0,5249.0,83.4,77814.0,Yes
NEWCOMB CSD,100.0,0.0,59290.5,68.0,39.0,29.0,5.9,44688.0,""
NEWFANE CSD,92.0,5.0,20242.16,1333.0,677.0,656.0,7.3,60037.5,No
NEWFIELD CSD,84.0,6.0,22438.23,728.0,355.0,373.0,19.5,59421.67,""
NIAGARA FALLS CITY SD,64.0,24.0,16647.7,6572.0,3240.0,3332.0,61.0,40596.25,""
NIAGARA-WHEATFIELD CSD,90.0,5.0,17860.17,3411.0,1738.0,1673.0,21.1,62356.5,Yes
NISKAYUNA CSD,94.0,1.0,15876.85,4294.0,2239.0,2055.0,31.3,85111.43,Yes
NORTH BABYLON UFSD,93.0,4.0,25157.29,4539.0,2335.0,2204.0,64.0,109923.6,""
NORTH BELLMORE UFSD,93.0,4.0,22631.36,2020.0,1014.0,1006.0,29.8,146297.33,""
NORTH COLLINS CSD,92.0,4.0,21209.35,547.0,277.0,270.0,9.1,62133.5,""
NORTH COLONIE CSD,93.0,3.0,16378.28,5887.0,2974.0,2913.0,37.1,70709.14,""
NORTH GREENBUSH COMN SD (WILLIAMS),93.0,3.0,37967.85,13.0,5.0,8.0,15.4,71087.66,""
NORTH MERRICK UFSD,93.0,3.0,25386.74,1188.0,610.0,578.0,26.9,108847.66,""
NORTH ROSE-WOLCOTT CSD,87.0,6.0,21632.65,1114.0,535.0,579.0,13.3,56033.22,""
NORTH SALEM CSD,96.0,2.0,34752.96,1046.0,523.0,523.0,25.9,122803.6,""
NORTH SHORE CSD,96.0,0.0,36171.47,2567.0,1332.0,1235.0,23.1,127171.84,""
NORTH SYRACUSE CSD,87.0,5.0,15859.19,8175.0,4198.0,3977.0,19.1,69545.27,""
NORTH TONAWANDA CITY SD,86.0,7.0,17409.1,3184.0,1593.0,1591.0,10.9,69119.0,""
NORTH WARREN CSD,92.0,5.0,22431.62,493.0,269.0,224.0,8.9,61106.25,""
NORTHEAST CSD,87.0,6.0,26227.2,626.0,333.0,293.0,30.5,73045.16,""
NORTHEASTERN CLINTON CSD,81.0,9.0,22148.23,1235.0,622.0,613.0,4.2,56574.25,""
NORTHERN ADIRONDACK CSD,86.0,9.0,25473.35,785.0,418.0,367.0,1.0,56522.17,""
NORTHPORT-EAST NORTHPORT UFSD,96.0,2.0,28285.29,5053.0,2646.0,2407.0,19.0,131766.0,""
NORTHVILLE CSD,94.0,3.0,20631.26,420.0,197.0,223.0,8.1,59445.5,""
NORWICH CITY SD,86.0,4.0,18999.6,1672.0,848.0,824.0,9.4,53188.38,No
NORWOOD-NORFOLK CSD,90.0,5.0,20364.35,943.0,473.0,470.0,3.8,54853.25,""
NY MILLS UFSD,87.0,4.0,22734.23,541.0,267.0,274.0,11.3,"",""
NYACK UFSD,91.0,5.0,24606.88,2866.0,1432.0,1434.0,57.8,124980.66,No
NYC GEOG DIST # 1 - MANHATTAN,68.0,8.0,19153.22,10473.0,5481.0,4992.0,81.6,77936.0,Yes
NYC GEOG DIST # 2 - MANHATTAN,81.0,5.0,15883.91,59568.0,28456.0,31112.0,73.4,127275.96,Yes
NYC GEOG DIST # 3 - MANHATTAN,81.0,3.0,16663.02,21132.0,9599.0,11533.0,66.5,104303.66,Yes
NYC GEOG DIST # 4 - MANHATTAN,85.0,4.0,21385.49,11510.0,5594.0,5916.0,95.0,31104.5,Yes
NYC GEOG DIST # 5 - MANHATTAN,74.0,5.0,23248.48,9332.0,4954.0,4378.0,93.6,50067.0,Yes
NYC GEOG DIST # 6 - MANHATTAN,75.0,5.0,20480.9,19124.0,9709.0,9415.0,94.4,55738.5,Yes
NYC GEOG DIST # 7 - BRONX,69.0,9.0,22088.49,16318.0,8639.0,7679.0,98.5,36670.8,Yes
HEMPSTEAD UFSD,78.0,10.0,21489.7,6825.0,3624.0,3201.0,98.5,107137.0,No
HENDRICK HUDSON CSD,94.0,1.0,28567.9,2267.0,1146.0,1121.0,44.2,105085.0,""
HERKIMER CSD,82.0,9.0,16820.51,1059.0,550.0,509.0,10.7,57833.33,""
HERMON-DEKALB CSD,91.0,6.0,21992.93,391.0,201.0,190.0,3.8,50376.5,""
HERRICKS UFSD,97.0,0.0,25834.33,4007.0,2067.0,1940.0,75.3,160936.33,No
HEUVELTON CSD,75.0,8.0,21354.54,504.0,260.0,244.0,4.0,50010.71,""
HEWLETT-WOODMERE UFSD,95.0,1.0,32708.8,2854.0,1511.0,1343.0,37.6,133385.75,No
HICKSVILLE UFSD,92.0,4.0,21799.6,5272.0,2747.0,2525.0,74.2,133881.83,No
HIGHLAND CSD,93.0,4.0,22380.21,1666.0,840.0,826.0,30.3,66984.0,""
HIGHLAND FALLS CSD,87.0,8.0,23505.03,962.0,474.0,488.0,41.9,102260.4,""
HILTON CSD,94.0,1.0,15641.88,4295.0,2219.0,2076.0,12.0,66139.14,No
HINSDALE CSD,77.0,20.0,20616.41,387.0,175.0,212.0,8.5,50180.5,""
HOLLAND CSD,95.0,2.0,18196.59,829.0,432.0,397.0,4.7,67787.78,""
HOLLAND PATENT CSD,88.0,5.0,18430.98,1298.0,679.0,619.0,1.1,72809.5,""
HOLLEY CSD,94.0,2.0,19510.21,902.0,444.0,458.0,16.2,59784.2,""
HOMER CSD,88.0,6.0,18818.88,1831.0,951.0,880.0,6.7,75074.66,No
HONEOYE CSD,94.0,0.0,23910.02,569.0,311.0,258.0,3.3,66354.88,""
HONEOYE FALLS-LIMA CSD,94.0,2.0,17749.56,2122.0,1136.0,986.0,8.1,84392.4,""
HOOSIC VALLEY CSD,92.0,3.0,18681.68,931.0,486.0,445.0,4.2,79609.84,""
