,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
582,SCHUYLERVILLE CSD,96.0,2.0,19497.47,1517,770,747,4.9,74302.57142857143,
583,SCIO CSD,81.0,16.0,25594.63,302,165,137,3.0,47109.66666666666,
584,SCOTIA-GLENVILLE CSD,88.0,6.0,19185.24,2371,1257,1114,10.3,63474.5,No
585,SEAFORD UFSD,95.0,2.0,26115.27,2247,1146,1101,12.4,137155.0,No
586,SENECA FALLS CSD,87.0,6.0,16786.23,1198,618,580,17.9,53409.0,
587,SEWANHAKA CENTRAL SCHOOL DISTRICT,95.0,1.0,20338.62,8140,4213,3927,68.3,,No
588,SHARON SPRINGS CSD,94.0,6.0,38377.69,226,109,117,7.1,55067.4,
589,SHELTER ISLAND UFSD,96.0,4.0,48559.74,192,99,93,33.9,98213.0,
590,SHENENDEHOWA CSD,92.0,3.0,15279.98,9535,4806,4729,25.3,89906.0,No
591,SHERBURNE-EARLVILLE CSD,86.0,3.0,20802.82,1286,670,616,3.9,52390.4,
592,SHERMAN CSD,91.0,3.0,20545.12,402,217,185,4.0,55302.8,
593,SHERRILL CITY SD,95.0,3.0,16933.8,1805,951,854,5.2,66556.11111111111,Yes
594,SHOREHAM-WADING RIVER CSD,94.0,1.0,26463.85,2039,1042,997,13.3,107032.25,
595,SIDNEY CSD,93.0,4.0,19569.51,1057,550,507,13.3,49572.857142857145,
596,SILVER CREEK CSD,89.0,4.0,19547.02,1022,495,527,28.8,49337.0,
597,SKANEATELES CSD,94.0,2.0,19456.71,1283,682,601,6.0,72358.33333333333,No
598,SMITHTOWN CSD,95.0,0.0,24979.97,8398,4222,4176,19.6,122502.71428571428,No
599,SODUS CSD,86.0,4.0,20747.89,965,512,453,40.6,58886.42857142857,
600,SOLVAY UFSD,89.0,1.0,18811.28,1380,695,685,28.6,58748.0,
601,SOMERS CSD,94.0,0.0,27456.96,2862,1465,1397,16.9,140010.16666666666,No
602,SOUTH COLONIE CSD,94.0,2.0,18621.48,4671,2335,2336,35.5,79064.14285714286,
603,SOUTH COUNTRY CSD,83.0,8.0,26730.96,4065,2111,1954,63.1,91574.83333333331,
604,SOUTH GLENS FALLS CSD,88.0,5.0,15609.87,2916,1522,1394,8.5,72290.66666666667,
605,SOUTH HUNTINGTON UFSD,89.0,3.0,23839.17,5849,3047,2802,62.1,126591.0,
606,SOUTH JEFFERSON CSD,88.0,3.0,15009.88,1814,904,910,6.0,62194.0,
607,SOUTH KORTRIGHT CSD,94.0,0.0,20685.26,330,170,160,7.3,59543.142857142855,
608,SOUTH LEWIS CSD,85.0,6.0,21091.9,976,493,483,5.1,57142.66666666666,
609,SOUTH ORANGETOWN CSD,93.0,2.0,27002.95,2910,1436,1474,32.4,122988.0,
610,SOUTH SENECA CSD,90.0,7.0,28768.85,618,291,327,5.0,60471.5,
611,SOUTHAMPTON UFSD,89.0,2.0,35375.27,1471,777,694,55.6,126957.25,
612,SOUTHERN CAYUGA CSD,86.0,9.0,20456.5,664,331,333,17.5,70813.77777777778,
613,SOUTHOLD UFSD,87.0,9.0,34388.43,769,417,352,37.7,97076.0,
614,SOUTHWESTERN CSD AT JAMESTOWN,92.0,4.0,16269.54,1300,703,597,12.2,52045.2,
615,SPACKENKILL UFSD,90.0,4.0,28094.81,1448,751,697,41.9,68081.0,No
616,SPENCER-VAN ETTEN CSD,81.0,8.0,21091.38,831,420,411,5.1,57482.90909090909,
617,SPENCERPORT CSD,91.0,4.0,18387.91,3618,1876,1742,20.4,70703.0,Yes
618,SPRINGS UFSD,,,25059.64,668,365,303,61.7,109375.0,
619,SPRINGVILLE-GRIFFITH INST CSD,96.0,1.0,19368.61,1647,843,804,5.6,,
620,ST REGIS FALLS CSD,95.0,0.0,27120.59,249,125,124,8.0,,
621,STAMFORD CSD,71.0,10.0,25978.35,263,117,146,7.2,53572.125,
622,STARPOINT CSD,93.0,3.0,14872.59,2911,1468,1443,6.8,69500.0,Yes
623,STILLWATER CSD,84.0,11.0,19288.45,1014,509,505,5.7,82021.4,
624,STOCKBRIDGE VALLEY CSD,90.0,7.0,20271.97,410,205,205,7.3,55979.5,
625,SUFFERN CSD,92.0,4.0,27125.39,4012,2024,1988,49.2,91666.0,
626,SULLIVAN WEST CSD,90.0,8.0,26133.65,1014,532,482,15.1,63396.9375,
627,SUSQUEHANNA VALLEY CSD,87.0,7.0,20962.12,1426,748,678,10.4,54191.25,
628,SWEET HOME CSD,94.0,3.0,19798.51,3261,1742,1519,37.7,74452.6,
629,SYOSSET CSD,99.0,0.0,30765.31,6580,3414,3166,47.9,151591.5,No
630,SYRACUSE CITY SD,71.0,11.0,19030.39,19011,9916,9095,78.1,49428.5,Yes
631,TACONIC HILLS CSD,75.0,12.0,24336.16,1205,612,593,20.2,71588.83333333333,
632,THOUSAND ISLANDS CSD,95.0,3.0,19397.93,867,425,442,8.4,57228.55555555556,
633,THREE VILLAGE CSD,96.0,1.0,31655.63,5809,2922,2887,22.9,124953.42857142857,
634,TICONDEROGA CSD,91.0,5.0,23812.19,682,361,321,1.9,80308.25,
635,TIOGA CSD,91.0,4.0,15563.69,886,446,440,2.9,59570.142857142855,
636,TONAWANDA CITY SD,93.0,3.0,16138.8,1729,880,849,13.0,58954.0,No
637,TOWN OF WEBB UFSD,100.0,0.0,26872.8,259,136,123,3.5,65457.2,
638,TRI-VALLEY CSD,75.0,19.0,27786.88,930,495,435,18.9,58629.6,
639,TROY CITY SD,88.0,7.0,19801.65,3842,1927,1915,60.3,57325.0,Yes
640,TRUMANSBURG CSD,91.0,0.0,20889.47,999,514,485,14.6,56880.2,
641,TUCKAHOE COMN SD,,,51082.72,253,121,132,74.3,105669.5,
642,TUCKAHOE UFSD,99.0,0.0,25010.58,1184,615,569,33.6,110517.75,
643,TULLY CSD,81.0,3.0,19646.46,737,391,346,6.5,72185.5,
644,TUPPER LAKE CSD,89.0,2.0,20549.25,712,365,347,6.0,55435.5,
645,TUXEDO UFSD,100.0,0.0,45079.45,222,111,111,35.6,103987.0,
646,UFSD-TARRYTOWNS,90.0,5.0,25569.87,2682,1355,1327,69.1,,
647,UNADILLA VALLEY CSD,84.0,3.0,22294.87,758,368,390,4.5,53665.142857142855,
648,UNION SPRINGS CSD,94.0,0.0,18831.95,791,431,360,10.4,66015.16666666667,
649,UNION-ENDICOTT CSD,88.0,5.0,18861.64,3569,1795,1774,32.1,57793.5,Yes
650,UNIONDALE UFSD,78.0,11.0,24253.37,6748,3438,3310,98.5,111490.66666666669,No
651,UTICA CITY SD,73.0,13.0,15176.09,9738,4917,4821,70.9,55937.333333333336,No
652,VALHALLA UFSD,93.0,1.0,30131.68,1387,706,681,46.0,106481.0,No
653,VALLEY CSD (MONTGOMERY),92.0,4.0,21709.36,4131,2073,2058,39.5,91179.375,
654,VALLEY STREAM 13 UFSD,,,21831.3,1963,1049,914,76.4,,
655,VALLEY STREAM 24 UFSD,,,23989.49,1097,560,537,82.2,,
656,VALLEY STREAM 30 UFSD,,,21680.41,1464,745,719,95.3,,
657,VALLEY STREAM CENTRAL SCHOOL DISTRICT,93.0,2.0,22335.67,4542,2315,2227,83.6,,
658,VAN HORNESVILLE-OWEN D YOUNG CSD,91.0,5.0,23917.91,181,85,96,3.3,,
659,VESTAL CSD,93.0,2.0,18422.74,3291,1695,1596,22.8,65047.66666666666,Yes
660,VICTOR CSD,95.0,2.0,13662.02,4272,2140,2132,17.4,82661.28571428571,No
661,VOORHEESVILLE CSD,96.0,2.0,17552.5,1180,581,599,10.0,96354.5,
662,WAINSCOTT COMN SD,,,28103.79,29,14,15,62.1,106326.0,
663,WALLKILL CSD,90.0,3.0,21761.44,2831,1482,1349,34.8,77384.90909090909,No
664,WALTON CSD,86.0,11.0,20436.21,866,433,433,4.4,54078.0,
665,WANTAGH UFSD,98.0,0.0,24819.0,2770,1397,1373,14.9,143313.0,No
666,WAPPINGERS CSD,94.0,3.0,19359.75,10645,5511,5134,31.2,90151.125,No
667,WARRENSBURG CSD,85.0,8.0,23590.05,662,352,310,6.3,64830.375,
668,WARSAW CSD,92.0,7.0,18447.56,820,390,430,8.4,59166.57142857143,
669,WARWICK VALLEY CSD,95.0,1.0,18948.67,3569,1818,1751,25.2,101545.5,
670,WASHINGTONVILLE CSD,94.0,2.0,20640.42,3801,1904,1897,40.3,104425.22222222222,No
671,WATERFORD-HALFMOON UFSD,90.0,5.0,23921.21,752,385,367,10.0,70068.0,
672,WATERLOO CSD,90.0,4.0,20639.44,1538,784,754,12.5,54392.66666666666,Yes
673,WATERTOWN CITY SD,77.0,14.0,14799.55,3972,2061,1911,30.8,53675.66666666666,Yes
674,WATERVILLE CSD,93.0,0.0,19097.1,741,395,346,2.6,69413.42857142857,
675,WATERVLIET CITY SD,88.0,7.0,13712.89,1296,697,599,54.3,52722.0,
676,WATKINS GLEN CSD,95.0,1.0,21000.88,983,508,475,8.6,59327.55555555556,
677,WAVERLY CSD,90.0,8.0,17881.28,1442,713,729,4.9,54707.5,Yes
678,WAYLAND-COHOCTON CSD,94.0,4.0,19889.88,1247,621,626,3.6,56342.6,No
679,WAYNE CSD,92.0,4.0,18290.82,2127,1095,1032,6.9,80629.66666666667,No
680,WEBSTER CSD,95.0,1.0,17463.98,8151,4194,3957,17.3,75512.0,No
681,WEEDSPORT CSD,96.0,2.0,21378.37,725,365,360,8.0,57784.0,
682,WELLS CSD,89.0,6.0,32101.51,135,83,52,3.0,61267.0,
683,WELLSVILLE CSD,82.0,6.0,19328.04,1077,527,550,5.6,54473.6,
684,WEST BABYLON UFSD,92.0,4.0,24688.51,3705,1867,1838,41.9,108718.33333333331,
685,WEST CANADA VALLEY CSD,96.0,2.0,21996.67,650,306,344,4.0,58483.0,
686,WEST GENESEE CSD,95.0,0.0,16351.6,4483,2312,2171,14.1,76938.0,
687,WEST HEMPSTEAD UFSD,89.0,6.0,27633.69,1759,930,829,77.2,110161.0,
688,WEST IRONDEQUOIT CSD,93.0,2.0,17041.73,3620,1885,1735,29.8,51638.0,
689,WEST ISLIP UFSD,98.0,0.0,24902.21,4006,2097,1909,17.2,116003.0,
690,WEST SENECA CSD,91.0,4.0,16393.8,6214,3178,3036,15.0,59280.0,
691,WEST VALLEY CSD,79.0,14.0,36386.31,190,98,92,4.7,58744.16666666666,
692,WESTBURY UFSD,84.0,11.0,24100.6,4979,2569,2410,98.0,152112.0,No
693,WESTFIELD CSD,80.0,4.0,22096.84,632,308,324,9.3,49503.333333333336,
694,WESTHAMPTON BEACH UFSD,93.0,3.0,25836.22,1820,950,870,35.7,113387.33333333331,
695,WESTHILL CSD,96.0,3.0,17204.54,1778,841,937,16.4,66212.5,Yes
696,WESTMORELAND CSD,95.0,0.0,20977.82,853,421,432,5.0,65308.857142857145,
697,WHEATLAND-CHILI CSD,88.0,3.0,24615.3,636,305,331,30.2,67558.0,
698,WHEELERVILLE UFSD,,,25960.01,117,61,56,3.4,49780.333333333336,
699,WHITE PLAINS CITY SD,91.0,3.0,27671.34,7069,3564,3505,78.1,106715.33333333331,
700,WHITEHALL CSD,76.0,16.0,20970.97,703,346,357,2.8,64743.75,
701,WHITESBORO CSD,94.0,4.0,17518.67,3143,1602,1541,10.1,65544.625,No
702,WHITESVILLE CSD,93.0,0.0,25735.4,179,90,89,2.8,45024.66666666666,
703,WHITNEY POINT CSD,78.0,6.0,20246.09,1329,672,657,3.0,55161.857142857145,
704,WILLIAM FLOYD UFSD,89.0,4.0,20200.92,8837,4514,4323,59.9,93855.66666666669,
705,WILLIAMSON CSD,94.0,1.0,18664.46,984,512,472,18.9,71056.0,
706,WILLIAMSVILLE CSD,95.0,2.0,16128.34,9913,5014,4899,26.9,89129.33333333333,No
707,WILLSBORO CSD,80.0,5.0,29014.65,229,108,121,8.7,60185.2,
708,WILSON CSD,91.0,8.0,19651.21,1042,545,497,9.0,63643.66666666666,
709,WINDHAM-ASHLAND-JEWETT CSD,95.0,5.0,30935.23,291,155,136,15.5,53107.0,
710,WINDSOR CSD,92.0,4.0,20400.27,1528,778,750,9.0,55349.8,Yes
711,WORCESTER CSD,100.0,0.0,22629.71,320,149,171,2.5,54057.5,
712,WYANDANCH UFSD,56.0,17.0,21454.95,2700,1381,1319,99.0,98069.0,No
713,WYNANTSKILL UFSD,,,17164.28,376,187,189,11.2,68131.5,
714,WYOMING CSD,,,28167.77,128,70,58,2.3,62790.5,
715,YONKERS CITY SD,91.0,3.0,18820.45,24633,12524,12109,84.5,94866.44444444444,Yes
716,YORK CSD,97.0,2.0,19869.81,688,377,311,5.4,61273.5,
717,YORKSHIRE-PIONEER CSD,89.0,6.0,17445.73,2307,1196,1111,5.0,58648.46666666667,Yes
718,YORKTOWN CSD,97.0,1.0,24424.21,3401,1775,1626,27.8,115881.16666666669,No
