,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
177,ELDRED CSD,88.0,2.0,27604.29,464,224,240,14.4,61916.875,
178,ELLENVILLE CSD,81.0,11.0,26476.75,1516,751,765,53.8,67510.26666666666,
179,ELLICOTTVILLE CSD,92.0,3.0,17000.21,568,295,273,8.5,55898.0,
180,ELMIRA CITY SD,73.0,16.0,18365.57,5544,2848,2696,28.6,55970.0,Yes
181,ELMIRA HEIGHTS CSD,88.0,6.0,17766.08,1018,503,515,12.8,55534.75,
182,ELMONT UFSD,,,21485.41,3324,1690,1634,95.1,127021.16666666669,No
183,ELMSFORD UFSD,89.0,1.0,28619.63,967,494,473,91.9,127944.5,
184,ELWOOD UFSD,98.0,1.0,25149.52,2049,1031,1018,37.1,131034.0,No
185,EVANS-BRANT CSD (LAKE SHORE),90.0,6.0,21444.49,2179,1124,1055,22.8,57504.42857142857,
186,FABIUS-POMPEY CSD,92.0,0.0,23378.61,611,302,309,5.6,76135.66666666667,
187,FAIRPORT CSD,94.0,2.0,18288.31,5683,2932,2751,14.9,89395.4,No
188,FALCONER CSD,90.0,5.0,15754.62,1119,574,545,6.0,50546.28571428572,
189,FALLSBURG CSD,79.0,8.0,8070.27,1410,688,722,71.5,55982.8125,
190,FARMINGDALE UFSD,95.0,3.0,26389.39,5521,2882,2639,41.0,114446.16666666669,Yes
191,FAYETTEVILLE-MANLIUS CSD,96.0,0.0,17546.6,4203,2114,2089,19.8,85551.28571428571,No
192,FILLMORE CSD,96.0,2.0,16259.19,639,320,319,4.2,52211.4,
193,FIRE ISLAND UFSD,,,117584.61,30,14,16,26.7,109138.0,
194,FISHERS ISLAND UFSD,90.0,0.0,53804.95,61,26,35,14.8,46250.0,
195,FLORAL PARK-BELLEROSE UFSD,,,17858.44,1472,750,722,41.8,124949.0,
196,FLORIDA UFSD,97.0,1.0,24475.23,789,399,390,39.4,102833.25,
197,FONDA-FULTONVILLE CSD,92.0,6.0,17693.4,1245,635,610,7.1,61968.454545454544,
198,FORESTVILLE CSD,90.0,4.0,19092.34,433,212,221,14.1,54393.71428571428,
199,FORT ANN CSD,81.0,8.0,23523.79,421,244,177,6.9,76262.0,
200,FORT EDWARD UFSD,74.0,21.0,22672.08,444,224,220,8.8,63169.0,
201,FORT PLAIN CSD,86.0,2.0,20887.78,769,401,368,12.9,50001.0,
202,FRANKFORT-SCHUYLER CSD,90.0,1.0,17334.49,893,457,436,6.8,56040.0,
203,FRANKLIN CSD,100.0,0.0,24410.51,244,114,130,9.8,50803.857142857145,
204,FRANKLIN SQUARE UFSD,,,16757.04,1832,953,879,41.8,128777.5,
205,FRANKLINVILLE CSD,83.0,6.0,25123.2,594,293,301,7.9,53930.125,
206,FREDONIA CSD,96.0,2.0,17255.21,1418,730,688,20.7,51986.5,
207,FREEPORT UFSD,86.0,2.0,21484.73,6765,3582,3183,94.5,118306.25,No
208,FREWSBURG CSD,94.0,2.0,17462.27,777,378,399,6.0,49021.5,
209,FRIENDSHIP CSD,78.0,9.0,29150.45,304,153,151,9.2,47778.0,
