,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
590,590,601,SHENENDEHOWA CSD,92,3,15279.98,9535,4806,4729,25.3,89906.0
591,591,602,SHERBURNE-EARLVILLE CSD,86,3,20802.82,1286,670,616,3.9,52390.4
592,592,603,SHERMAN CSD,91,3,20545.12,402,217,185,4.0,55302.8
593,593,604,SHERRILL CITY SCHOOL DISTRICT,95,3,16933.8,1805,951,854,5.2,66556.1
594,594,605,SHOREHAM-WADING RIVER CSD,94,1,26463.85,2039,1042,997,13.3,107032.2
595,595,606,SIDNEY CSD,93,4,19569.51,1057,550,507,13.3,49572.9
596,596,607,SILVER CREEK CSD,89,4,19547.02,1022,495,527,28.8,49337.0
597,597,608,SKANEATELES CSD,94,2,19456.71,1283,682,601,6.0,72358.3
598,598,609,SMITHTOWN CSD,95,0,24979.97,8398,4222,4176,19.6,122502.7
599,599,610,SODUS CSD,86,4,20747.89,965,512,453,40.6,58886.4
600,600,611,SOLVAY UFSD,89,1,18811.28,1380,695,685,28.6,58748.0
601,601,612,SOMERS CSD,94,0,27456.96,2862,1465,1397,16.9,140010.2
602,602,613,SOUTH COLONIE CSD,94,2,18621.48,4671,2335,2336,35.5,79064.1
603,603,614,SOUTH COUNTRY CSD,83,8,26730.96,4065,2111,1954,63.1,91574.8
604,604,615,SOUTH GLENS FALLS CSD,88,5,15609.87,2916,1522,1394,8.5,72290.7
605,605,616,SOUTH HUNTINGTON UFSD,89,3,23839.17,5849,3047,2802,62.1,126591.0
606,606,617,SOUTH JEFFERSON CSD,88,3,15009.88,1814,904,910,6.0,62194.0
607,607,618,SOUTH KORTRIGHT CSD,94,0,20685.26,330,170,160,7.3,59543.1
608,608,619,SOUTH LEWIS CSD,85,6,21091.9,976,493,483,5.1,57142.7
609,609,620,SOUTH ORANGETOWN CSD,93,2,27002.95,2910,1436,1474,32.4,122988.0
610,610,621,SOUTH SENECA CSD,90,7,28768.85,618,291,327,5.0,60471.5
611,611,622,SOUTHAMPTON UFSD,89,2,35375.27,1471,777,694,55.6,126957.2
612,612,623,SOUTHERN CAYUGA CSD,86,9,20456.5,664,331,333,17.5,70813.8
613,613,624,SOUTHOLD UFSD,87,9,34388.43,769,417,352,37.7,97076.0
614,614,625,SOUTHWESTERN CSD AT JAMESTOWN,92,4,16269.54,1300,703,597,12.2,52045.2
615,615,626,SPACKENKILL UFSD,90,4,28094.81,1448,751,697,41.9,68081.0
616,616,627,SPENCER-VAN ETTEN CSD,81,8,21091.38,831,420,411,5.1,57482.9
617,617,628,SPENCERPORT CSD,91,4,18387.91,3618,1876,1742,20.4,70703.0
618,618,629,SPRINGS UFSD,—,—,25059.64,668,365,303,61.7,109375.0
619,619,630,SPRINGVILLE-GRIFFITH INST CSD,96,1,19368.61,1647,843,804,5.6,
620,620,632,ST REGIS FALLS CSD,95,0,27120.59,249,125,124,8.0,
621,621,633,STAMFORD CSD,71,10,25978.35,263,117,146,7.2,53572.1
622,622,634,STARPOINT CSD,93,3,14872.59,2911,1468,1443,6.8,69500.0
623,623,635,STILLWATER CSD,84,11,19288.45,1014,509,505,5.7,82021.4
624,624,636,STOCKBRIDGE VALLEY CSD,90,7,20271.97,410,205,205,7.3,55979.5
625,625,637,SUFFERN CSD,92,4,27125.39,4012,2024,1988,49.2,91666.0
626,626,638,SULLIVAN WEST CSD,90,8,26133.65,1014,532,482,15.1,63396.9
627,627,639,SUSQUEHANNA VALLEY CSD,87,7,20962.12,1426,748,678,10.4,54191.2
628,628,640,SWEET HOME CSD,94,3,19798.51,3261,1742,1519,37.7,74452.6
629,629,641,SYOSSET CSD,99,0,30765.31,6580,3414,3166,47.9,151591.5
630,630,642,SYRACUSE CITY SCHOOL DISTRICT,71,11,19030.39,19011,9916,9095,78.1,49428.5
631,631,643,TACONIC HILLS CSD,75,12,24336.16,1205,612,593,20.2,71588.8
632,632,644,THOUSAND ISLANDS CSD,95,3,19397.93,867,425,442,8.4,57228.6
633,633,645,THREE VILLAGE CSD,96,1,31655.63,5809,2922,2887,22.9,124953.4
634,634,646,TICONDEROGA CSD,91,5,23812.19,682,361,321,1.9,80308.2
635,635,647,TIOGA CSD,91,4,15563.69,886,446,440,2.9,59570.1
636,636,648,TONAWANDA CITY SCHOOL DISTRICT,93,3,16138.8,1729,880,849,13.0,58954.0
637,637,649,TOWN OF WEBB UFSD,100,0,26872.8,259,136,123,3.5,65457.2
638,638,650,TRI-VALLEY CSD,75,19,27786.88,930,495,435,18.9,58629.6
639,639,651,TROY CITY SCHOOL DISTRICT,88,7,19801.65,3842,1927,1915,60.3,57325.0
640,640,652,TRUMANSBURG CSD,91,0,20889.47,999,514,485,14.6,56880.2
641,641,653,TUCKAHOE COMMON SCHOOL DISTRICT,—,—,51082.72,253,121,132,74.3,105669.5
642,642,654,TUCKAHOE UFSD,99,0,25010.58,1184,615,569,33.6,110517.8
643,643,655,TULLY CSD,81,3,19646.46,737,391,346,6.5,72185.5
644,644,656,TUPPER LAKE CSD,89,2,20549.25,712,365,347,6.0,55435.5
645,645,657,TUXEDO UFSD,100,0,45079.45,222,111,111,35.6,103987.0
646,646,658,UFSD-TARRYTOWNS,90,5,25569.87,2682,1355,1327,69.1,
647,647,659,UNADILLA VALLEY CSD,84,3,22294.87,758,368,390,4.5,53665.1
648,648,660,UNION SPRINGS CSD,94,0,18831.95,791,431,360,10.4,66015.2
649,649,661,UNION-ENDICOTT CSD,88,5,18861.64,3569,1795,1774,32.1,57793.5
650,650,662,UNIONDALE UFSD,78,11,24253.37,6748,3438,3310,98.5,111490.7
651,651,663,UTICA CITY SCHOOL DISTRICT,73,13,15176.09,9738,4917,4821,70.9,55937.3
652,652,664,VALHALLA UFSD,93,1,30131.68,1387,706,681,46.0,106481.0
653,653,665,VALLEY CSD (MONTGOMERY),92,4,21709.36,4131,2073,2058,39.5,91179.4
654,654,666,VALLEY STREAM 13 UFSD,—,—,21831.3,1963,1049,914,76.4,
655,655,667,VALLEY STREAM 24 UFSD,—,—,23989.49,1097,560,537,82.2,
656,656,668,VALLEY STREAM 30 UFSD,—,—,21680.41,1464,745,719,95.3,
657,657,669,VALLEY STREAM CENTRAL HS DISTRICT,93,2,22335.67,4542,2315,2227,83.6,
658,658,670,VAN HORNESVILLE-OWEN D YOUNG CSD,91,5,23917.91,181,85,96,3.3,
659,659,671,VESTAL CSD,93,2,18422.74,3291,1695,1596,22.8,65047.7
660,660,672,VICTOR CSD,95,2,13662.02,4272,2140,2132,17.4,82661.3
661,661,673,VOORHEESVILLE CSD,96,2,17552.5,1180,581,599,10.0,96354.5
662,662,674,WAINSCOTT COMMON SCHOOL DISTRICT,—,—,28103.79,29,14,15,62.1,106326.0
663,663,675,WALLKILL CSD,90,3,21761.44,2831,1482,1349,34.8,77384.9
664,664,676,WALTON CSD,86,11,20436.21,866,433,433,4.4,54078.0
665,665,677,WANTAGH UFSD,98,0,24819.0,2770,1397,1373,14.9,143313.0
666,666,678,WAPPINGERS CSD,94,3,19359.75,10645,5511,5134,31.2,90151.1
667,667,679,WARRENSBURG CSD,85,8,23590.05,662,352,310,6.3,64830.4
668,668,680,WARSAW CSD,92,7,18447.56,820,390,430,8.4,59166.6
669,669,681,WARWICK VALLEY CSD,95,1,18948.67,3569,1818,1751,25.2,101545.5
670,670,682,WASHINGTONVILLE CSD,94,2,20640.42,3801,1904,1897,40.3,104425.2
671,671,683,WATERFORD-HALFMOON UFSD,90,5,23921.21,752,385,367,10.0,70068.0
672,672,684,WATERLOO CSD,90,4,20639.44,1538,784,754,12.5,54392.7
673,673,685,WATERTOWN CITY SCHOOL DISTRICT,77,14,14799.55,3972,2061,1911,30.8,53675.7
674,674,686,WATERVILLE CSD,93,0,19097.1,741,395,346,2.6,69413.4
675,675,687,WATERVLIET CITY SCHOOL DISTRICT,88,7,13712.89,1296,697,599,54.3,52722.0
676,676,688,WATKINS GLEN CSD,95,1,21000.88,983,508,475,8.6,59327.6
677,677,689,WAVERLY CSD,90,8,17881.28,1442,713,729,4.9,54707.5
678,678,690,WAYLAND-COHOCTON CSD,94,4,19889.88,1247,621,626,3.6,56342.6
679,679,691,WAYNE CSD,92,4,18290.82,2127,1095,1032,6.9,80629.7
680,680,692,WEBSTER CSD,95,1,17463.98,8151,4194,3957,17.3,75512.0
681,681,693,WEEDSPORT CSD,96,2,21378.37,725,365,360,8.0,57784.0
682,682,694,WELLS CSD,89,6,32101.51,135,83,52,3.0,61267.0
683,683,695,WELLSVILLE CSD,82,6,19328.04,1077,527,550,5.6,54473.6
684,684,696,WEST BABYLON UFSD,92,4,24688.51,3705,1867,1838,41.9,108718.3
685,685,697,WEST CANADA VALLEY CSD,96,2,21996.67,650,306,344,4.0,58483.0
686,686,698,WEST GENESEE CSD,95,0,16351.6,4483,2312,2171,14.1,76938.0
687,687,699,WEST HEMPSTEAD UFSD,89,6,27633.69,1759,930,829,77.2,110161.0
688,688,700,WEST IRONDEQUOIT CSD,93,2,17041.73,3620,1885,1735,29.8,51638.0
689,689,701,WEST ISLIP UFSD,98,0,24902.21,4006,2097,1909,17.2,116003.0
690,690,703,WEST SENECA CSD,91,4,16393.8,6214,3178,3036,15.0,59280.0
691,691,704,WEST VALLEY CSD,79,14,36386.31,190,98,92,4.7,58744.2
692,692,705,WESTBURY UFSD,84,11,24100.6,4979,2569,2410,98.0,152112.0
693,693,706,WESTFIELD CSD,80,4,22096.84,632,308,324,9.3,49503.3
694,694,707,WESTHAMPTON BEACH UFSD,93,3,25836.22,1820,950,870,35.7,113387.3
695,695,708,WESTHILL CSD,96,3,17204.54,1778,841,937,16.4,66212.5
696,696,709,WESTMORELAND CSD,95,0,20977.82,853,421,432,5.0,65308.9
697,697,711,WHEATLAND-CHILI CSD,88,3,24615.3,636,305,331,30.2,67558.0
698,698,712,WHEELERVILLE UFSD,—,—,25960.01,117,61,56,3.4,49780.3
699,699,713,WHITE PLAINS CITY SCHOOL DISTRICT,91,3,27671.34,7069,3564,3505,78.1,106715.3
700,700,714,WHITEHALL CSD,76,16,20970.97,703,346,357,2.8,64743.8
701,701,715,WHITESBORO CSD,94,4,17518.67,3143,1602,1541,10.1,65544.6
702,702,716,WHITESVILLE CSD,93,0,25735.4,179,90,89,2.8,45024.7
703,703,717,WHITNEY POINT CSD,78,6,20246.09,1329,672,657,3.0,55161.9
704,704,718,WILLIAM FLOYD UFSD,89,4,20200.92,8837,4514,4323,59.9,93855.7
705,705,719,WILLIAMSON CSD,94,1,18664.46,984,512,472,18.9,71056.0
706,706,720,WILLIAMSVILLE CSD,95,2,16128.34,9913,5014,4899,26.9,89129.3
707,707,721,WILLSBORO CSD,80,5,29014.65,229,108,121,8.7,60185.2
708,708,722,WILSON CSD,91,8,19651.21,1042,545,497,9.0,63643.7
709,709,723,WINDHAM-ASHLAND-JEWETT CSD,95,5,30935.23,291,155,136,15.5,53107.0
710,710,724,WINDSOR CSD,92,4,20400.27,1528,778,750,9.0,55349.8
711,711,725,WORCESTER CSD,100,0,22629.71,320,149,171,2.5,54057.5
712,712,726,WYANDANCH UFSD,56,17,21454.95,2700,1381,1319,99.0,98069.0
713,713,727,WYNANTSKILL UFSD,—,—,17164.28,376,187,189,11.2,68131.5
714,714,728,WYOMING CSD,—,—,28167.77,128,70,58,2.3,62790.5
715,715,729,YONKERS CITY SCHOOL DISTRICT,91,3,18820.45,24633,12524,12109,84.5,94866.4
716,716,730,YORK CSD,97,2,19869.81,688,377,311,5.4,61273.5
717,717,731,YORKSHIRE-PIONEER CSD,89,6,17445.73,2307,1196,1111,5.0,58648.5
718,718,732,YORKTOWN CSD,97,1,24424.21,3401,1775,1626,27.8,115881.2
