,Unnamed: 0.1,Unnamed: 0,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome
92,92,94,CATO-MERIDIAN CSD,89,5,18088.09,860,449,411,8.1,64765.8
93,93,95,CATSKILL CSD,91,4,24088.35,1350,668,682,32.9,58658.8
94,94,96,CATTARAUGUS-LITTLE VALLEY CSD,93,4,19362.54,858,431,427,6.9,52411.0
95,95,97,CAZENOVIA CSD,94,2,17708.25,1360,727,633,6.0,69543.9
96,96,98,CENTER MORICHES UFSD,93,1,24593.36,1513,788,725,26.8,99102.0
97,97,99,CENTRAL ISLIP UFSD,88,1,21656.92,7571,3929,3642,96.1,101402.4
98,98,100,CENTRAL SQUARE CSD,87,8,17310.54,3580,1827,1753,6.1,67685.7
99,99,101,CENTRAL VALLEY CSD AT ILION-MOHAWK,87,5,15522.11,2082,1025,1057,9.4,
100,100,102,CHAPPAQUA CSD,99,0,29069.23,3625,1870,1755,25.9,171975.0
101,101,103,CHARLOTTE VALLEY CSD,0,4,19819.35,382,202,180,7.3,53881.8
102,102,104,CHATEAUGAY CSD,97,3,20495.72,451,243,208,1.3,56603.8
103,103,105,CHATHAM CSD,94,4,25024.45,971,491,480,13.0,80405.8
104,104,106,CHAUTAUQUA LAKE CSD,85,3,23416.94,706,328,378,5.1,57115.6
105,105,107,CHAZY UFSD,94,6,19209.93,455,234,221,5.7,63384.5
106,106,108,CHEEKTOWAGA CSD,87,7,16544.11,2138,1109,1029,60.4,47551.0
107,107,109,CHEEKTOWAGA-MARYVALE UFSD,87,5,15434.4,2087,1081,1006,27.8,58342.0
108,108,110,CHEEKTOWAGA-SLOAN UFSD,86,5,19755.19,1232,641,591,23.5,47314.8
109,109,111,CHENANGO FORKS CSD,93,0,18273.44,1340,727,613,7.8,50343.4
110,110,112,CHENANGO VALLEY CSD,91,5,18101.82,1648,841,807,10.7,47896.4
111,111,113,CHERRY VALLEY-SPRINGFIELD CSD,79,3,24150.04,422,219,203,2.1,57554.8
112,112,114,CHESTER UFSD,90,1,24039.21,986,489,497,53.5,101327.0
113,113,115,CHITTENANGO CSD,90,3,17253.94,1904,971,933,8.4,78756.5
114,114,116,CHURCHVILLE-CHILI CSD,91,2,15793.94,3751,1944,1807,23.1,74812.2
115,115,117,CINCINNATUS CSD,90,5,21748.43,514,239,275,2.3,54469.2
116,116,118,CLARENCE CSD,95,2,15613.47,4228,2170,2058,12.1,89974.1
117,117,119,CLARKSTOWN CSD,95,1,22878.82,7821,4098,3723,42.0,124982.3
118,118,120,CLEVELAND HILL UFSD,85,6,18076.74,1254,634,620,52.4,53987.0
119,119,121,CLIFTON-FINE CSD,77,0,28678.72,276,134,142,8.3,46749.0
120,120,122,CLINTON CSD,96,1,17575.94,1258,649,609,9.2,71630.0
121,121,123,CLYDE-SAVANNAH CSD,78,17,21555.55,754,385,369,15.1,53507.6
122,122,124,CLYMER CSD,93,0,21086.05,414,221,193,9.4,53945.6
123,123,125,COBLESKILL-RICHMONDVILLE CSD,93,3,20054.26,1639,878,761,10.0,57302.2
