,DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students,HouseholdIncome,FederallyFunded
137,CROTON-HARMON,96,0,23468.52,1584,820,764,28.7,148421.0,
138,CROWNPOINT,95,5,20638.87,286,135,151,0.7,67854.0,
139,CUBA-RUSHFORD,92,0,19895.03,780,433,347,5.0,64611.0,
140,DALTON-NUNDA(KESHEQUA),98,0,20242.29,589,297,292,2.5,63532.0,
141,DANSVILLE,85,10,17846.3,1304,652,652,6.7,75776.0,
142,DEERPARK,92,1,24053.21,3864,1984,1880,63.6,123793.0,
143,DELAWAREACADEMYATDELHI,90,0,20269.67,747,379,368,5.5,,
144,DEPEW,85,5,16749.58,1784,905,879,14.9,81730.0,
145,DEPOSIT,97,3,26448.82,458,242,216,3.9,60670.0,
146,DERUYTER,88,6,24461.18,326,168,158,7.4,66008.0,
147,DOBBSFERRY,99,0,27547.73,1516,783,733,35.2,217329.0,
148,DOLGEVILLE,87,9,17450.78,815,393,422,1.5,66289.0,
149,DOVER,84,6,20364.65,1351,691,660,38.3,107994.0,No
150,DOWNSVILLE,85,8,36396.35,207,98,109,7.7,71990.0,
151,DRYDEN,68,14,22428.41,1364,699,665,15.8,73950.0,Yes
152,DUANESBURG,98,2,18262.05,651,339,312,6.1,96977.0,
153,DUNDEE,68,23,20317.42,621,330,291,8.5,75443.0,
154,DUNKIRK,71,19,21073.97,1957,996,961,64.0,65345.0,Yes
155,EASTAURORA,97,1,14972.77,1758,902,856,5.6,105751.0,
156,EASTBLOOMFIELD,94,2,19459.4,816,420,396,8.5,93658.0,
157,EASTGREENBUSH,96,2,17840.81,4088,2049,2039,21.1,96195.0,
158,EASTHAMPTON,83,9,32627.14,1712,852,860,62.6,162978.0,
159,EASTIRONDEQUOIT,90,6,21188.16,2945,1488,1457,55.6,67465.0,
160,EASTISLIP,95,2,27025.08,3549,1855,1694,27.2,138508.0,
161,EASTMEADOW,95,0,24954.87,7240,3643,3597,51.7,149448.0,
162,EASTMORICHES,—,—,20972.97,684,335,349,18.9,131835.0,
163,EASTQUOGUE,—,—,30127.26,390,203,187,34.6,111564.0,
164,EASTRAMAPO(SPRINGVALLEY),65,20,20759.17,9387,4909,4478,96.6,121506.0,
165,EASTROCHESTER,80,8,21751.23,957,488,469,27.3,117185.0,
166,EASTROCKAWAY,96,1,27495.82,1173,576,597,40.2,144431.0,
167,EASTSYRACUSEMINOA,90,1,20125.41,3138,1608,1530,14.9,,
168,EASTWILLISTON,99,0,29899.6,1722,914,808,42.4,216279.0,
169,EASTCHESTER,99,0,23455.55,3232,1684,1548,32.9,213489.0,No
170,EASTPORT-SOUTHMANOR,96,2,23188.7,3225,1646,1579,13.6,119283.0,
171,EDEN,88,3,17729.04,1307,669,638,6.6,82130.0,
172,EDGEMONT,98,0,26154.46,2049,1061,988,54.8,226243.0,
173,EDINBURGCOMMONSCHOOLDISTRICT,—,—,37016.86,53,26,27,3.8,83779.0,
174,EDMESTON,91,3,21675.32,355,179,176,5.4,75282.0,
175,EDWARDS-KNOX,83,5,20184.28,485,257,228,2.7,65141.0,
176,ELBA,80,16,21297.72,374,194,180,20.6,73157.0,
177,ELDRED,88,2,27604.29,464,224,240,14.4,85835.0,
178,ELLENVILLE,81,11,26476.75,1516,751,765,53.8,80931.0,
179,ELLICOTTVILLE,92,3,17000.21,568,295,273,8.5,66215.0,
180,ELMIRA,73,16,18365.57,5544,2848,2696,28.6,73944.0,Yes
181,ELMIRAHEIGHTS,88,6,17766.08,1018,503,515,12.8,77311.0,
182,ELMONT,—,—,21485.41,3324,1690,1634,95.1,153319.0,No
183,ELMSFORD,89,1,28619.63,967,494,473,91.9,169163.0,
184,ELWOOD,98,1,25149.52,2049,1031,1018,37.1,163972.0,No
185,EVANS-BRANT(LAKESHORE),90,6,21444.49,2179,1124,1055,22.8,75914.0,
186,FABIUS-POMPEY,92,0,23378.61,611,302,309,5.6,100406.0,
187,FAIRPORT,94,2,18288.31,5683,2932,2751,14.9,113807.0,No
188,FALCONER,90,5,15754.62,1119,574,545,6.0,60528.0,
189,FALLSBURG,79,8,8070.27,1410,688,722,71.5,75124.0,
190,FARMINGDALE,95,3,26389.39,5521,2882,2639,41.0,132631.0,Yes
191,FAYETTEVILLE-MANLIUS,96,0,17546.6,4203,2114,2089,19.8,110353.0,No
192,FILLMORE,96,2,16259.19,639,320,319,4.2,62808.0,
193,FIREISLAND,—,—,117584.61,30,14,16,26.7,124313.0,
194,FISHERSISLAND,90,0,53804.95,61,26,35,14.8,113454.0,
195,FLORALPARK-BELLEROSE,—,—,17858.44,1472,750,722,41.8,146902.0,
196,FLORIDA,97,1,24475.23,789,399,390,39.4,118506.0,
197,FONDA-FULTONVILLE,92,6,17693.4,1245,635,610,7.1,77099.0,
198,FORESTVILLE,90,4,19092.34,433,212,221,14.1,67948.0,
199,FORTANN,81,8,23523.79,421,244,177,6.9,88078.0,
200,FORTEDWARD,74,21,22672.08,444,224,220,8.8,81797.0,
201,FORTPLAIN,86,2,20887.78,769,401,368,12.9,59770.0,
