DistrictName,GraduationPercentageRate,DropoutPercentageRate,FundingPerStudent,TotalEnrolled,MalesEnrolled,FemalesEnrolled,Percentage of Minority Students
CHENANGO VALLEY CSD,91.0,5.0,18101.82,1648,841,807,10.7
CHERRY VALLEY-SPRINGFIELD CSD,79.0,3.0,24150.04,422,219,203,2.1
CHESTER UFSD,90.0,1.0,24039.21,986,489,497,53.5
CHITTENANGO CSD,90.0,3.0,17253.94,1904,971,933,8.4
CHURCHVILLE-CHILI CSD,91.0,2.0,15793.94,3751,1944,1807,23.1
CINCINNATUS CSD,90.0,5.0,21748.43,514,239,275,2.3
CLARENCE CSD,95.0,2.0,15613.47,4228,2170,2058,12.1
CLARKSTOWN CSD,95.0,1.0,22878.82,7821,4098,3723,42.0
CLEVELAND HILL UFSD,85.0,6.0,18076.74,1254,634,620,52.4
CLIFTON-FINE CSD,77.0,0.0,28678.72,276,134,142,8.3
CLINTON CSD,96.0,1.0,17575.94,1258,649,609,9.2
CLYDE-SAVANNAH CSD,78.0,17.0,21555.55,754,385,369,15.1
CLYMER CSD,93.0,0.0,21086.05,414,221,193,9.4
COBLESKILL-RICHMONDVILLE CSD,93.0,3.0,20054.26,1639,878,761,10.0
COHOES CITY SD,84.0,11.0,17770.18,1873,943,930,28.9
COLD SPRING HARBOR CSD,99.0,0.0,33287.48,1635,838,797,13.9
COLTON-PIERREPONT CSD,94.0,0.0,22481.64,339,169,170,0.6
COMMACK UFSD,97.0,0.0,26170.47,5875,3018,2857,23.3
CONNETQUOT CSD,95.0,2.0,28395.35,5509,2786,2723,26.7
COOPERSTOWN CSD,99.0,1.0,19740.77,818,413,405,8.8
COPENHAGEN CSD,100.0,0.0,18762.25,393,212,181,7.6
COPIAGUE UFSD,89.0,7.0,18858.63,4965,2443,2522,87.7
CORINTH CSD,86.0,6.0,15265.53,1139,586,553,4.8
CORNING CITY SD,88.0,6.0,19702.53,4551,2359,2192,13.5
CORNWALL CSD,96.0,3.0,18883.36,3102,1632,1470,35.5
CORTLAND CITY SD,80.0,7.0,18587.04,2132,1092,1040,15.1
COXSACKIE-ATHENS CSD,82.0,7.0,20955.92,1242,679,563,15.5
CROTON-HARMON UFSD,96.0,0.0,23468.52,1584,820,764,28.7
CROWN POINT CSD,95.0,5.0,20638.87,286,135,151,0.7
CUBA-RUSHFORD CSD,92.0,0.0,19895.03,780,433,347,5.0
DALTON-NUNDA CSD (KESHEQUA),98.0,0.0,20242.29,589,297,292,2.5
DANSVILLE CSD,85.0,10.0,17846.3,1304,652,652,6.7
DEER PARK UFSD,92.0,1.0,24053.21,3864,1984,1880,63.6
DELAWARE ACADEMY CSD AT DELHI,90.0,0.0,20269.67,747,379,368,5.5
DEPEW UFSD,85.0,5.0,16749.58,1784,905,879,14.9
DEPOSIT CSD,97.0,3.0,26448.82,458,242,216,3.9
DERUYTER CSD,88.0,6.0,24461.18,326,168,158,7.4
DOBBS FERRY UFSD,99.0,0.0,27547.73,1516,783,733,35.2
DOLGEVILLE CSD,87.0,9.0,17450.78,815,393,422,1.5
DOVER UFSD,84.0,6.0,20364.65,1351,691,660,38.3
DOWNSVILLE CSD,85.0,8.0,36396.35,207,98,109,7.7
DRYDEN CSD,68.0,14.0,22428.41,1364,699,665,15.8
DUANESBURG CSD,98.0,2.0,18262.05,651,339,312,6.1
DUNDEE CSD,68.0,23.0,20317.42,621,330,291,8.5
DUNKIRK CITY SD,71.0,19.0,21073.97,1957,996,961,64.0
EAST AURORA UFSD,97.0,1.0,14972.77,1758,902,856,5.6
EAST BLOOMFIELD CSD,94.0,2.0,19459.4,816,420,396,8.5
EAST GREENBUSH CSD,96.0,2.0,17840.81,4088,2049,2039,21.1
EAST HAMPTON UFSD,83.0,9.0,32627.14,1712,852,860,62.6
EAST IRONDEQUOIT CSD,90.0,6.0,21188.16,2945,1488,1457,55.6
EAST ISLIP UFSD,95.0,2.0,27025.08,3549,1855,1694,27.2
EAST MEADOW UFSD,95.0,0.0,24954.87,7240,3643,3597,51.7
EAST MORICHES UFSD,,,20972.97,684,335,349,18.9
EAST QUOGUE UFSD,,,30127.26,390,203,187,34.6
EAST RAMAPO CSD (SPRING VALLEY),65.0,20.0,20759.17,9387,4909,4478,96.6
EAST ROCHESTER UFSD,80.0,8.0,21751.23,957,488,469,27.3
EAST ROCKAWAY UFSD,96.0,1.0,27495.82,1173,576,597,40.2
EAST SYRACUSE MINOA CSD,90.0,1.0,20125.41,3138,1608,1530,14.9
EAST WILLISTON UFSD,99.0,0.0,29899.6,1722,914,808,42.4
EASTCHESTER UFSD,99.0,0.0,23455.55,3232,1684,1548,32.9
EASTPORT-SOUTH MANOR CSD,96.0,2.0,23188.7,3225,1646,1579,13.6
EDEN CSD,88.0,3.0,17729.04,1307,669,638,6.6
EDGEMONT UFSD,98.0,0.0,26154.46,2049,1061,988,54.8
EDINBURG COMN SD,,,37016.86,53,26,27,3.8
EDMESTON CSD,91.0,3.0,21675.32,355,179,176,5.4
EDWARDS-KNOX CSD,83.0,5.0,20184.28,485,257,228,2.7
ELBA CSD,80.0,16.0,21297.72,374,194,180,20.6
ELDRED CSD,88.0,2.0,27604.29,464,224,240,14.4
ELLENVILLE CSD,81.0,11.0,26476.75,1516,751,765,53.8
ELLICOTTVILLE CSD,92.0,3.0,17000.21,568,295,273,8.5
ELMIRA CITY SD,73.0,16.0,18365.57,5544,2848,2696,28.6
ELMIRA HEIGHTS CSD,88.0,6.0,17766.08,1018,503,515,12.8
ELMONT UFSD,,,21485.41,3324,1690,1634,95.1
ELMSFORD UFSD,89.0,1.0,28619.63,967,494,473,91.9
ELWOOD UFSD,98.0,1.0,25149.52,2049,1031,1018,37.1
EVANS-BRANT CSD (LAKE SHORE),90.0,6.0,21444.49,2179,1124,1055,22.8
FABIUS-POMPEY CSD,92.0,0.0,23378.61,611,302,309,5.6
FAIRPORT CSD,94.0,2.0,18288.31,5683,2932,2751,14.9
FALCONER CSD,90.0,5.0,15754.62,1119,574,545,6.0
FALLSBURG CSD,79.0,8.0,8070.27,1410,688,722,71.5
FARMINGDALE UFSD,95.0,3.0,26389.39,5521,2882,2639,41.0
FAYETTEVILLE-MANLIUS CSD,96.0,0.0,17546.6,4203,2114,2089,19.8
FILLMORE CSD,96.0,2.0,16259.19,639,320,319,4.2
FIRE ISLAND UFSD,,,117584.61,30,14,16,26.7
FISHERS ISLAND UFSD,90.0,0.0,53804.95,61,26,35,14.8
FLORAL PARK-BELLEROSE UFSD,,,17858.44,1472,750,722,41.8
FLORIDA UFSD,97.0,1.0,24475.23,789,399,390,39.4
FONDA-FULTONVILLE CSD,92.0,6.0,17693.4,1245,635,610,7.1
FORESTVILLE CSD,90.0,4.0,19092.34,433,212,221,14.1
FORT ANN CSD,81.0,8.0,23523.79,421,244,177,6.9
FORT EDWARD UFSD,74.0,21.0,22672.08,444,224,220,8.8
FORT PLAIN CSD,86.0,2.0,20887.78,769,401,368,12.9
FRANKFORT-SCHUYLER CSD,90.0,1.0,17334.49,893,457,436,6.8
FRANKLIN CSD,100.0,0.0,24410.51,244,114,130,9.8
FRANKLIN SQUARE UFSD,,,16757.04,1832,953,879,41.8
FRANKLINVILLE CSD,83.0,6.0,25123.2,594,293,301,7.9
FREDONIA CSD,96.0,2.0,17255.21,1418,730,688,20.7
FREEPORT UFSD,86.0,2.0,21484.73,6765,3582,3183,94.5
FREWSBURG CSD,94.0,2.0,17462.27,777,378,399,6.0
FRIENDSHIP CSD,78.0,9.0,29150.45,304,153,151,9.2
FRONTIER CSD,91.0,3.0,14894.51,4612,2356,2256,11.8
FULTON CITY SD,84.0,10.0,19719.91,3200,1659,1541,10.3
GALWAY CSD,87.0,6.0,18867.04,800,392,408,1.1
GANANDA CSD,90.0,5.0,18478.74,893,440,453,15.2
GARDEN CITY UFSD,98.0,0.0,23500.03,3939,1964,1975,16.0
GARRISON UFSD,,,36524.49,207,109,98,27.5
GATES CHILI CSD,86.0,4.0,19847.69,3698,1833,1865,43.8
GENERAL BROWN CSD,93.0,4.0,13567.3,1388,711,677,6.0
GENESEE VALLEY CSD,90.0,8.0,23997.0,478,243,235,5.0
GENESEO CSD,93.0,3.0,18482.09,855,444,411,17.5
GENEVA CITY SD,88.0,9.0,20180.79,1996,988,1008,57.1
GEORGE JUNIOR REPUBLIC UFSD,41.0,53.0,,190,163,27,26.8
GERMANTOWN CSD,93.0,7.0,5403.88,485,263,222,14.0
GILBERTSVILLE-MOUNT UPTON CSD,92.0,3.0,23117.52,338,164,174,3.8
GILBOA-CONESVILLE CSD,100.0,0.0,26541.08,294,167,127,4.8
GLEN COVE CITY SD,87.0,4.0,22819.95,3163,1613,1550,75.5
GLENS FALLS CITY SD,84.0,8.0,17131.9,2022,1042,980,14.4
GLENS FALLS COMN SD,,,23169.56,157,72,85,19.7
GLOVERSVILLE CITY SD,68.0,17.0,18618.2,2554,1310,1244,20.0
GORHAM-MIDDLESEX CSD (MARCUS WHITMAN,87.0,4.0,19833.28,1119,582,537,3.2
GOSHEN CSD,96.0,0.0,22102.68,2885,1458,1427,22.4
GOUVERNEUR CSD,84.0,9.0,18367.44,1461,739,722,3.9
GOWANDA CSD,82.0,14.0,24073.62,1063,511,552,35.7
GRAND ISLAND CSD,95.0,2.0,17396.91,2869,1462,1407,15.2
GRANVILLE CSD,79.0,11.0,18308.97,1020,545,475,5.3
GREAT NECK UFSD,93.0,2.0,28782.39,6586,3466,3120,56.0
GREECE CSD,93.0,0.0,16901.72,10504,5322,5182,42.1
GREEN ISLAND UFSD,86.0,11.0,23487.08,263,117,146,19.0
GREENBURGH CSD,93.0,0.0,34414.7,1581,803,778,87.9
GREENBURGH ELEVEN UFSD,22.0,33.0,,71,71,0,95.8
GREENBURGH-GRAHAM UFSD,0.0,0.0,,102,60,42,88.2
GREENBURGH-NORTH CASTLE UFSD,,,,395,259,136,76.2
GREENE CSD,89.0,6.0,20546.04,924,479,445,5.3
GREENPORT UFSD,75.0,20.0,24403.49,660,351,309,72.7
GREENVILLE CSD,87.0,3.0,23538.21,1126,573,553,4.4
GREENWICH CSD,91.0,1.0,18651.65,945,496,449,5.1
GREENWOOD LAKE UFSD,,,33865.79,474,236,238,35.2
GROTON CSD,90.0,3.0,19387.04,778,387,391,8.9
GUILDERLAND CSD,94.0,2.0,17693.96,4841,2451,2390,26.5
HADLEY-LUZERNE CSD,89.0,7.0,25299.07,640,350,290,4.4
HALDANE CSD,93.0,3.0,25957.28,796,423,373,17.2
HALF HOLLOW HILLS CSD,95.0,1.0,27791.97,7676,3950,3726,47.2
HAMBURG CSD,92.0,3.0,17076.46,3321,1649,1672,7.0
HAMILTON CSD,90.0,5.0,20603.59,554,303,251,8.7
HAMMOND CSD,74.0,16.0,26123.36,242,124,118,1.2
HAMMONDSPORT CSD,76.0,11.0,27744.76,395,196,199,7.3
HAMPTON BAYS UFSD,91.0,6.0,21642.94,2006,1048,958,63.1
HANCOCK CSD,97.0,3.0,29004.88,308,159,149,9.4
HANNIBAL CSD,82.0,10.0,19515.27,1236,649,587,4.0
